date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Lemon,310,Rajasthan,8,Jodhpur,113,2000,2200,2100
2025-10-29,Lemon,310,Rajasthan,8,Jodhpur,113,1500,2500,2000
2025-10-28,Lemon,310,Rajasthan,8,Jodhpur,113,2000,2500,2200
2025-10-26,Lemon,310,Rajasthan,8,Jodhpur,113,2000,2500,2200
2025-10-25,Lemon,310,Rajasthan,8,Jodhpur,113,2000,2800,2500
2025-10-24,Lemon,310,Rajasthan,8,Jodhpur,113,1500,2500,2000
2025-10-17,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-10-16,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-10-15,Lemon,310,Rajasthan,8,Jodhpur,113,3000,3500,3200
2025-10-14,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-10-10,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-10-09,Lemon,310,Rajasthan,8,Jodhpur,113,1500,2500,2000
2025-10-08,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-10-06,Lemon,310,Rajasthan,8,Jodhpur,113,2000,2800,2500
2025-10-05,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-10-04,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-10-02,Lemon,310,Rajasthan,8,Jodhpur,113,2000,2500,2200
2025-10-01,Lemon,310,Rajasthan,8,Jodhpur,113,2000,2500,2200
2025-09-30,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-09-29,Lemon,310,Rajasthan,8,Jodhpur,113,1000,2000,1500
2025-09-28,Lemon,310,Rajasthan,8,Jodhpur,113,1500,3000,2000
2025-09-27,Lemon,310,Rajasthan,8,Jodhpur,113,1000,3000,2000
2025-09-26,Lemon,310,Rajasthan,8,Jodhpur,113,1500,3000,2000
2025-09-25,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-09-23,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-09-22,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-09-17,Lemon,310,Rajasthan,8,Jodhpur,113,1500,2500,2000
2025-09-16,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-09-12,Lemon,310,Rajasthan,8,Jodhpur,113,1500,2500,2000
2025-09-11,Lemon,310,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-09-10,Lemon,310,Rajasthan,8,Jodhpur,113,1500,2500,2000
2025-09-09,Lemon,310,Rajasthan,8,Jodhpur,113,1500,2500,2000
2025-09-08,Lemon,310,Rajasthan,8,Jodhpur,113,1500,2500,2000
