date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2015-12-31,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-30,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-28,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-27,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-26,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-25,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-23,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-22,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-21,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-12-19,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-18,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-17,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-16,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-15,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-14,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-11,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-10,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-08,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8600,8600,8600
2015-12-07,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-12-04,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-12-02,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-12-01,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8000,8250,8150
2015-11-30,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-11-29,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-11-27,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-11-26,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-11-24,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-11-23,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8200,8400,8300
2015-11-19,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-11-18,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-11-17,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8250,8500,8350
2015-11-13,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-11-10,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-11-09,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-11-07,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8000,8000,8000
2015-11-05,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
2015-11-04,Lentil (Masur)(Whole),63,Punjab,3,Bathinda,46,8500,8500,8500
