date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-28,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5400,5600,5500
2025-10-26,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5580,5620,5600
2025-10-24,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5400,5500,5430
2025-10-23,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5830,5860,5851
2025-10-05,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5700,5900,5800
2025-10-04,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5440,5500,5450
2025-09-27,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6280,6300,6292
2025-09-12,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6140,6170,6150
2025-09-10,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6140,6160,6150
2025-09-09,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6100,6130,6121
2025-09-04,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6200,6230,6221
2025-08-29,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6200,6400,6300
2025-08-26,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6000,6050,6031
2025-08-24,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6050,6100,6061
2025-08-23,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6050,6120,6070
2025-08-22,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6070,6100,6080
2025-08-19,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6160,6220,6196
2025-08-13,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6340,6370,6351
2025-08-12,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6300,6400,6350
2025-08-11,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6200,6500,6350
2025-08-07,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6325,6435,6380.5
2025-08-05,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6300,6400,6350
2025-08-03,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6425,6480,6460
2025-08-02,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6445,6480,6460
2025-08-01,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6470,6500,6481
2025-07-31,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6330,6450,6390
2025-07-30,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6440,6480,6464
2025-07-29,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6375,6473,6405.5
2025-07-27,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6300,6340,6330
2025-07-26,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6390,6425,6400
2025-07-25,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6400,6430,6425
2025-07-24,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5985,6150,6042.5
2025-07-22,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6090,6262.5,6125
2025-07-20,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6230,6260,6251
2025-07-18,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6140,6175,6150
2025-07-16,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6175,6200,6192
2025-07-13,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5850,6000,5900
2025-07-03,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5700,5900,5800
2025-07-02,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6000,6100,6040
2025-06-29,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5700,6000,5800
2025-06-25,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6100,6150,6131
2025-06-24,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6075,6150,6096
2025-06-21,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6100,6200,6116
2025-06-12,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5925,6000,5950
2025-06-11,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,6000,6050,6030
2025-06-10,Lentil (Masur)(Whole),63,Uttar Pradesh,9,Jalaun,165,5750,5900,5800
