date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-02-21,Lint,280,Karnataka,29,Haveri,564,13000,13000,13000
2025-01-19,Lint,280,Karnataka,29,Haveri,564,11200,11200,11200
2025-01-11,Lint,280,Karnataka,29,Haveri,564,13000,13400,13000
2025-01-10,Lint,280,Karnataka,29,Haveri,564,12500,13700,13600
2025-01-01,Lint,280,Karnataka,29,Haveri,564,13500,13600,13500
2024-12-29,Lint,280,Karnataka,29,Haveri,564,13409,14000,13500
2024-12-06,Lint,280,Karnataka,29,Haveri,564,14200,14300,14200
2024-08-13,Lint,280,Karnataka,29,Haveri,564,14000,14000,14000
2024-08-05,Lint,280,Karnataka,29,Haveri,564,14700,15500,14900
2024-07-19,Lint,280,Karnataka,29,Haveri,564,14900,15100,15000
2024-05-25,Lint,280,Karnataka,29,Haveri,564,14500,15600,14700
2024-05-08,Lint,280,Karnataka,29,Haveri,564,14900,14900,14900
2023-03-20,Lint,280,Karnataka,29,Haveri,564,5693,8038,7410
2023-02-15,Lint,280,Karnataka,29,Haveri,564,9000,10200,9900
2022-06-22,Lint,280,Karnataka,29,Haveri,564,26500,26500,26500
2022-05-11,Lint,280,Karnataka,29,Haveri,564,25400,25400,25400
2022-04-18,Lint,280,Karnataka,29,Haveri,564,25300,25300,25300
2021-08-26,Lint,280,Karnataka,29,Haveri,564,5869,12779,12549
2021-07-19,Lint,280,Karnataka,29,Haveri,564,8569,11396,10500
2021-07-15,Lint,280,Karnataka,29,Haveri,564,14850,14995,14916
2021-07-12,Lint,280,Karnataka,29,Haveri,564,3269,10089,8230
2021-05-12,Lint,280,Karnataka,29,Haveri,564,10000,10000,10000
2021-05-10,Lint,280,Karnataka,29,Haveri,564,4000,10000,8500
2020-10-13,Lint,280,Karnataka,29,Haveri,564,8469,8859,8680
2020-10-08,Lint,280,Karnataka,29,Haveri,564,9600,9600,9600
2020-10-07,Lint,280,Karnataka,29,Haveri,564,9156,9156,9156
2020-10-01,Lint,280,Karnataka,29,Haveri,564,4156,4156,4156
2020-09-28,Lint,280,Karnataka,29,Haveri,564,4200,4200,4200
2020-09-23,Lint,280,Karnataka,29,Haveri,564,6600,6903,6700
2020-09-22,Lint,280,Karnataka,29,Haveri,564,5900,5900,5900
2020-09-21,Lint,280,Karnataka,29,Haveri,564,8576,8576,8576
2020-09-14,Lint,280,Karnataka,29,Haveri,564,9881,9881,9881
2020-09-09,Lint,280,Karnataka,29,Haveri,564,6900,9138,7925
2020-09-08,Lint,280,Karnataka,29,Haveri,564,9400,9600,9500
2020-09-07,Lint,280,Karnataka,29,Haveri,564,7028,7400,7300
2020-09-05,Lint,280,Karnataka,29,Haveri,564,9000,9420,9200
2020-09-03,Lint,280,Karnataka,29,Haveri,564,7800,9200,9000
2020-09-01,Lint,280,Karnataka,29,Haveri,564,6600,9600,9500
2020-08-26,Lint,280,Karnataka,29,Haveri,564,7733,7733,7733
2020-08-25,Lint,280,Karnataka,29,Haveri,564,3180,3180,3180
2020-08-23,Lint,280,Karnataka,29,Haveri,564,6700,9300,6900
2020-08-20,Lint,280,Karnataka,29,Haveri,564,9250,9300,9300
2020-08-19,Lint,280,Karnataka,29,Haveri,564,9800,9800,9800
2020-08-18,Lint,280,Karnataka,29,Haveri,564,6700,6900,6800
2020-08-17,Lint,280,Karnataka,29,Haveri,564,7000,7525,7350
2020-08-13,Lint,280,Karnataka,29,Haveri,564,9609,9869,9725
2020-08-12,Lint,280,Karnataka,29,Haveri,564,9200,9300,9200
2020-08-11,Lint,280,Karnataka,29,Haveri,564,9200,9300,9250
2020-08-06,Lint,280,Karnataka,29,Haveri,564,6500,8500,8000
2020-07-29,Lint,280,Karnataka,29,Haveri,564,5500,8500,8400
2020-07-17,Lint,280,Karnataka,29,Haveri,564,5000,5000,5000
2020-06-18,Lint,280,Karnataka,29,Haveri,564,8380,8380,8380
2020-06-17,Lint,280,Karnataka,29,Haveri,564,8436,8436,8436
2020-06-09,Lint,280,Karnataka,29,Haveri,564,6479,6539,6502
2020-06-08,Lint,280,Karnataka,29,Haveri,564,6469,6529,6495
2020-06-05,Lint,280,Karnataka,29,Haveri,564,6479,6539,6502
2020-06-04,Lint,280,Karnataka,29,Haveri,564,6449,6539,6509
2020-06-01,Lint,280,Karnataka,29,Haveri,564,6429,6539,6500
2020-05-15,Lint,280,Karnataka,29,Haveri,564,6429,6549,6494
2020-05-14,Lint,280,Karnataka,29,Haveri,564,6479,6529,6496
2020-05-12,Lint,280,Karnataka,29,Haveri,564,6469,6529,6501
2020-04-24,Lint,280,Karnataka,29,Haveri,564,7424,7424,7424
2020-03-03,Lint,280,Karnataka,29,Haveri,564,4730,4830,4745
2020-02-24,Lint,280,Karnataka,29,Haveri,564,4221,5439,5043
2019-11-22,Lint,280,Karnataka,29,Haveri,564,10600,10600,10600
2019-09-27,Lint,280,Karnataka,29,Haveri,564,10123,11500,11000
2019-07-13,Lint,280,Karnataka,29,Haveri,564,10901,11251,11077
2019-03-01,Lint,280,Karnataka,29,Haveri,564,10500,10500,10500
2019-01-11,Lint,280,Karnataka,29,Haveri,564,10100,10100,10100
2018-12-14,Lint,280,Karnataka,29,Haveri,564,10000,10000,10000
2018-12-07,Lint,280,Karnataka,29,Haveri,564,10000,10000,10000
2018-11-22,Lint,280,Karnataka,29,Haveri,564,3300,6892,6180
2018-10-05,Lint,280,Karnataka,29,Haveri,564,11000,11000,11000
2018-08-24,Lint,280,Karnataka,29,Haveri,564,12614,12614,12614
2018-08-16,Lint,280,Karnataka,29,Haveri,564,9200,9200,9200
2018-07-28,Lint,280,Karnataka,29,Haveri,564,9000,9000,9000
2018-07-20,Lint,280,Karnataka,29,Haveri,564,8000,8000,8000
2018-07-13,Lint,280,Karnataka,29,Haveri,564,9840,9840,9840
2018-06-22,Lint,280,Karnataka,29,Haveri,564,7000,10123,9000
2018-06-15,Lint,280,Karnataka,29,Haveri,564,8500,8500,8500
2018-06-08,Lint,280,Karnataka,29,Haveri,564,9000,10990,10500
2018-05-18,Lint,280,Karnataka,29,Haveri,564,8800,11000,10000
2018-03-23,Lint,280,Karnataka,29,Haveri,564,12042,12042,12042
2018-03-16,Lint,280,Karnataka,29,Haveri,564,8600,8600,8600
2018-02-23,Lint,280,Karnataka,29,Haveri,564,11460,11460,11460
2018-01-05,Lint,280,Karnataka,29,Haveri,564,11100,11100,11100
2017-12-29,Lint,280,Karnataka,29,Haveri,564,9842,9842,9842
2017-12-22,Lint,280,Karnataka,29,Haveri,564,9862,9862,9862
2017-11-03,Lint,280,Karnataka,29,Haveri,564,10000,10000,10000
2017-10-20,Lint,280,Karnataka,29,Haveri,564,10096,10096,10096
2017-10-13,Lint,280,Karnataka,29,Haveri,564,10000,10000,10000
2017-09-28,Lint,280,Karnataka,29,Haveri,564,9780,9939,9878
2017-09-22,Lint,280,Karnataka,29,Haveri,564,9000,11000,10500
2017-09-21,Lint,280,Karnataka,29,Haveri,564,10500,10500,10500
2017-09-15,Lint,280,Karnataka,29,Haveri,564,9000,10950,10500
2017-09-08,Lint,280,Karnataka,29,Haveri,564,10700,10700,10700
2017-07-28,Lint,280,Karnataka,29,Haveri,564,8700,8700,8700
2017-06-30,Lint,280,Karnataka,29,Haveri,564,9600,9600,9600
2017-06-23,Lint,280,Karnataka,29,Haveri,564,3500,9000,8500
2017-05-12,Lint,280,Karnataka,29,Haveri,564,9700,9700,9700
2017-03-24,Lint,280,Karnataka,29,Haveri,564,9500,9500,9500
2017-03-10,Lint,280,Karnataka,29,Haveri,564,9765,9765,9765
2017-03-03,Lint,280,Karnataka,29,Haveri,564,11101,11101,11101
2017-02-27,Lint,280,Karnataka,29,Haveri,564,4059,6979,6149
2017-02-03,Lint,280,Karnataka,29,Haveri,564,11002,11002,11002
2017-01-12,Lint,280,Karnataka,29,Haveri,564,10000,14015,12562
2016-12-15,Lint,280,Karnataka,29,Haveri,564,3669,6729,5530
2016-09-15,Lint,280,Karnataka,29,Haveri,564,3029,6599,6050
2016-08-25,Lint,280,Karnataka,29,Haveri,564,3845,6571,5869
2016-06-24,Lint,280,Karnataka,29,Haveri,564,9600,10200,10000
2016-06-17,Lint,280,Karnataka,29,Haveri,564,12000,12000,12000
2016-06-10,Lint,280,Karnataka,29,Haveri,564,9600,9600,9600
2016-06-03,Lint,280,Karnataka,29,Haveri,564,10000,10000,10000
2016-05-20,Lint,280,Karnataka,29,Haveri,564,9700,9700,9700
2016-05-13,Lint,280,Karnataka,29,Haveri,564,4800,4800,4800
2016-05-12,Lint,280,Karnataka,29,Haveri,564,8111,91111,8611
2016-03-18,Lint,280,Karnataka,29,Haveri,564,8838,8838,8838
2016-03-04,Lint,280,Karnataka,29,Haveri,564,9088,9088,9088
2016-02-05,Lint,280,Karnataka,29,Haveri,564,7000,7330,7200
2016-01-08,Lint,280,Karnataka,29,Haveri,564,9056,10956,10900
2015-12-18,Lint,280,Karnataka,29,Haveri,564,7223,7223,7223
2015-12-11,Lint,280,Karnataka,29,Haveri,564,9054,9054,9054
