date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-22,Maize,4,Madhya Pradesh,23,Singrauli,463,2400,2400,2400
2025-05-02,Maize,4,Madhya Pradesh,23,Singrauli,463,2150,2150,2150
2025-04-29,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2025-04-24,Maize,4,Madhya Pradesh,23,Singrauli,463,2150,2150,2150
2025-03-31,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2025-01-28,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2024-11-28,Maize,4,Madhya Pradesh,23,Singrauli,463,2200,2200,2200
2024-11-20,Maize,4,Madhya Pradesh,23,Singrauli,463,2250,2250,2250
2024-10-31,Maize,4,Madhya Pradesh,23,Singrauli,463,2250,2250,2250
2024-10-30,Maize,4,Madhya Pradesh,23,Singrauli,463,2250,2250,2250
2024-04-03,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2024-04-01,Maize,4,Madhya Pradesh,23,Singrauli,463,2050,2100,2100
2024-03-31,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2138,2000
2024-03-23,Maize,4,Madhya Pradesh,23,Singrauli,463,2200,2200,2200
2024-03-05,Maize,4,Madhya Pradesh,23,Singrauli,463,2100,2100,2100
2024-03-03,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2024-02-29,Maize,4,Madhya Pradesh,23,Singrauli,463,2050,2100,2100
2024-02-20,Maize,4,Madhya Pradesh,23,Singrauli,463,2100,2100,2100
2023-12-19,Maize,4,Madhya Pradesh,23,Singrauli,463,2090,2100,2090
2023-12-12,Maize,4,Madhya Pradesh,23,Singrauli,463,2090,2090,2090
2023-12-07,Maize,4,Madhya Pradesh,23,Singrauli,463,1700,1975,1700
2023-11-24,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2023-11-09,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2023-03-23,Maize,4,Madhya Pradesh,23,Singrauli,463,1800,1800,1800
2023-03-11,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2023-03-09,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2023-02-15,Maize,4,Madhya Pradesh,23,Singrauli,463,2200,2200,2200
2023-02-10,Maize,4,Madhya Pradesh,23,Singrauli,463,2200,2200,2200
2023-02-07,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2023-02-02,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2023-01-29,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2023-01-27,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2023-01-24,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2023-01-22,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2023-01-15,Maize,4,Madhya Pradesh,23,Singrauli,463,2000,2000,2000
2023-01-08,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,2000,2000
2023-01-07,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2023-01-01,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2022-12-27,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2022-12-23,Maize,4,Madhya Pradesh,23,Singrauli,463,1800,1800,1800
2022-12-21,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2022-12-19,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2022-12-16,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2022-12-13,Maize,4,Madhya Pradesh,23,Singrauli,463,1800,1900,1800
2022-12-07,Maize,4,Madhya Pradesh,23,Singrauli,463,1800,1800,1800
2022-12-05,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2022-12-02,Maize,4,Madhya Pradesh,23,Singrauli,463,1800,1800,1800
2022-11-27,Maize,4,Madhya Pradesh,23,Singrauli,463,1800,1800,1800
2022-11-24,Maize,4,Madhya Pradesh,23,Singrauli,463,1800,1800,1800
2022-11-18,Maize,4,Madhya Pradesh,23,Singrauli,463,1900,1900,1900
2022-11-05,Maize,4,Madhya Pradesh,23,Singrauli,463,1810,1810,1810
2022-11-03,Maize,4,Madhya Pradesh,23,Singrauli,463,1800,1800,1800
2022-11-01,Maize,4,Madhya Pradesh,23,Singrauli,463,1800,1800,1800
2022-10-28,Maize,4,Madhya Pradesh,23,Singrauli,463,1800,1800,1800
2022-10-18,Maize,4,Madhya Pradesh,23,Singrauli,463,1800,1800,1800
2022-05-28,Maize,4,Madhya Pradesh,23,Singrauli,463,1700,1700,1700
2022-03-15,Maize,4,Madhya Pradesh,23,Singrauli,463,2250,2250,2250
2022-01-25,Maize,4,Madhya Pradesh,23,Singrauli,463,1600,1600,1600
2021-12-18,Maize,4,Madhya Pradesh,23,Singrauli,463,1500,1500,1500
2021-12-13,Maize,4,Madhya Pradesh,23,Singrauli,463,1700,1700,1700
2021-12-03,Maize,4,Madhya Pradesh,23,Singrauli,463,1400,1400,1400
2021-11-10,Maize,4,Madhya Pradesh,23,Singrauli,463,1600,1600,1600
2021-11-07,Maize,4,Madhya Pradesh,23,Singrauli,463,1300,1300,1300
