date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2015-07-16,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,2000,1500
2015-07-08,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,2000,2000,2000
2015-07-07,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,2000,1500
2015-07-05,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,2000,1500
2015-07-04,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,2000,1500
2015-07-02,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,1000,1000
2015-07-01,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,2000,1500
2015-06-30,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,2000,1500
2015-06-29,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,2000,1500
2015-06-28,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,500,2000,1000
2015-06-27,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,2500,2000
2015-06-26,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,2000,1500
2015-06-25,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,1500,1500
2015-06-24,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1500,2000,2000
2015-06-23,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,1000,1000
2015-06-22,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,2000,1500
2015-06-21,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,1000,1000
2015-06-20,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,1000,1000
2015-06-19,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,1500,1500
2015-06-18,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,2000,1500
2015-06-16,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,500,2000,1000
2015-06-15,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,1000,1000
2015-06-13,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,1000,1000
2015-06-11,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,1000,1000
2015-06-10,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,1000,1000
2015-06-01,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,1000,1000
2015-05-31,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,1000,3000,2000
2015-04-28,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,2000,2000,2000
2015-04-23,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,2000,2000,2000
2015-04-16,Mango (Raw-Ripe),172,Madhya Pradesh,23,Shajapur,436,2000,2000,2000
