date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2023-07-11,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,4500,5000,4700
2023-05-26,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,3800,4200,4000
2023-05-24,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,3300,3500,3400
2023-05-23,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,3300,3500,3400
2023-05-22,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,3400,3600,3500
2023-05-20,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,3400,3600,3500
2023-05-18,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,4300,4600,4500
2023-05-17,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,4400,4600,4500
2023-05-16,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,4400,4600,4500
2023-05-15,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,3800,4200,4000
2023-05-10,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,3800,4200,4000
2023-01-10,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,2000,2200,2100
2021-06-01,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,2500,2800,2600
2020-07-15,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,6000,6200,6100
2020-07-14,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,6000,6300,6200
2020-07-09,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,4800,5000,4900
2020-07-08,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,5800,6000,5900
2020-07-06,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,6200,6400,6300
2020-07-03,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,6500,6850,6650
2020-07-02,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,5200,5400,5300
2020-07-01,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,6500,6700,6600
2020-06-30,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,6000,6500,6200
2020-06-29,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,6000,6400,6200
2020-06-25,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,6500,6700,6600
2020-06-24,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,6600,6700,6650
2020-06-23,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,6500,6700,6600
2020-06-22,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,6200,6400,6300
2020-06-19,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,5800,6000,5900
2020-06-18,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,5800,6000,5900
2020-06-17,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,5500,5700,5600
2020-06-16,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,5400,5600,5500
2020-06-12,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,5200,5400,5300
2020-06-11,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,5200,5400,5300
2018-05-14,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,800,950,900
2018-05-11,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,500,700,600
2018-05-10,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,600,700,650
2018-05-09,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,500,700,600
2018-05-08,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,800,1000,900
2018-05-07,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,800,1000,900
2018-05-06,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,900,1050,1000
2018-05-05,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,900,1050,1000
2018-05-03,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,900,1050,1000
2018-05-02,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,900,1100,1000
2018-05-01,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,600,800,700
2018-04-30,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,800,1000,900
2018-04-29,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,700,900,800
2018-04-28,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,900,1000,950
2018-04-27,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,1000,1200,1100
2017-04-28,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,5000,6000,5500
2016-06-17,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,5000,6000,5500
2016-06-10,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,5000,6000,5500
2016-05-13,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,4000,6000,5000
2016-05-10,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,1000,1050,1020
2016-05-09,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,1100,1200,1150
2016-05-08,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,1000,1100,1050
2016-05-06,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,1000,1050,1020
2016-05-04,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,1000,1100,1050
2016-04-30,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,1500,1700,1600
2016-04-28,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,1500,1700,1600
2015-05-11,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,600,700,650
2015-05-10,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,600,800,700
2015-05-09,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,650,750,700
2015-05-08,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,600,800,700
2015-05-07,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,500,700,600
2015-05-06,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,900,1050,1000
2015-05-05,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,900,1050,1000
2015-05-04,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,1000,1200,1100
2015-05-03,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,1000,1200,1100
2015-05-02,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,1000,1200,1100
2015-04-29,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,800,1000,900
2015-04-28,Mango (Raw-Ripe),172,Odisha,21,Baleshwar,377,900,1050,1000
