date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-08-08,Mango,20,Uttar Pradesh,9,Gonda,183,5550,5900,5700
2025-08-07,Mango,20,Uttar Pradesh,9,Gonda,183,5550,5850,5600
2025-08-05,Mango,20,Uttar Pradesh,9,Gonda,183,5400,5700,5500
2025-08-04,Mango,20,Uttar Pradesh,9,Gonda,183,5500,5850,5600
2025-08-03,Mango,20,Uttar Pradesh,9,Gonda,183,5450,5700,5500
2025-08-02,Mango,20,Uttar Pradesh,9,Gonda,183,5300,5500,5400
2025-07-31,Mango,20,Uttar Pradesh,9,Gonda,183,4900,5125,5000
2025-07-30,Mango,20,Uttar Pradesh,9,Gonda,183,4650,4950,4775
2025-07-29,Mango,20,Uttar Pradesh,9,Gonda,183,4550,4775,4650
2025-07-28,Mango,20,Uttar Pradesh,9,Gonda,183,4475,4700,4575
2025-07-27,Mango,20,Uttar Pradesh,9,Gonda,183,4450,4675,4550
2025-07-26,Mango,20,Uttar Pradesh,9,Gonda,183,4200,4450,4300
2025-07-25,Mango,20,Uttar Pradesh,9,Gonda,183,4175,4425,4250
2025-07-24,Mango,20,Uttar Pradesh,9,Gonda,183,3833.3333333333335,4016.6666666666665,3910
2025-07-23,Mango,20,Uttar Pradesh,9,Gonda,183,3633.3333333333335,3816.6666666666665,3733.3333333333335
2025-07-22,Mango,20,Uttar Pradesh,9,Gonda,183,3501.6666666666665,3700,3583.3333333333335
2025-07-21,Mango,20,Uttar Pradesh,9,Gonda,183,3333.3333333333335,3566.6666666666665,3425
2025-07-20,Mango,20,Uttar Pradesh,9,Gonda,183,3112.5,3350,3175
2025-07-19,Mango,20,Uttar Pradesh,9,Gonda,183,3083.3333333333335,3316.6666666666665,3166.6666666666665
2025-07-18,Mango,20,Uttar Pradesh,9,Gonda,183,3050,3300,3116.6666666666665
2025-07-17,Mango,20,Uttar Pradesh,9,Gonda,183,3083.3333333333335,3316.6666666666665,3166.6666666666665
2025-07-16,Mango,20,Uttar Pradesh,9,Gonda,183,3066.6666666666665,3316.6666666666665,3166.6666666666665
2025-07-15,Mango,20,Uttar Pradesh,9,Gonda,183,3033.3333333333335,3266.6666666666665,3116.6666666666665
2025-07-14,Mango,20,Uttar Pradesh,9,Gonda,183,2933.3333333333335,3150,3000
2025-07-13,Mango,20,Uttar Pradesh,9,Gonda,183,3175,3425,3275
2025-07-12,Mango,20,Uttar Pradesh,9,Gonda,183,3037.5,3306.25,3125
2025-07-11,Mango,20,Uttar Pradesh,9,Gonda,183,2887.5,3150,3012.5
2025-07-10,Mango,20,Uttar Pradesh,9,Gonda,183,2633.3333333333335,2866.6666666666665,2733.3333333333335
2025-07-09,Mango,20,Uttar Pradesh,9,Gonda,183,2483.3333333333335,2750,2633.3333333333335
2025-07-08,Mango,20,Uttar Pradesh,9,Gonda,183,2525,2750,2600
2025-07-07,Mango,20,Uttar Pradesh,9,Gonda,183,2425,2675,2550
2025-07-06,Mango,20,Uttar Pradesh,9,Gonda,183,2425,2625,2500
2025-07-05,Mango,20,Uttar Pradesh,9,Gonda,183,2325,2575,2425
2025-07-04,Mango,20,Uttar Pradesh,9,Gonda,183,2162.5,2500,2325
2025-07-03,Mango,20,Uttar Pradesh,9,Gonda,183,1975,2250,2125
2025-07-02,Mango,20,Uttar Pradesh,9,Gonda,183,1975,2200,2050
2025-07-01,Mango,20,Uttar Pradesh,9,Gonda,183,2000,2100,2050
2025-06-30,Mango,20,Uttar Pradesh,9,Gonda,183,1975,2212.5,2075
2025-06-29,Mango,20,Uttar Pradesh,9,Gonda,183,2000,2212.5,2075
2025-06-28,Mango,20,Uttar Pradesh,9,Gonda,183,1950,2225,2075
2025-06-27,Mango,20,Uttar Pradesh,9,Gonda,183,2050,2300,2175
2025-06-26,Mango,20,Uttar Pradesh,9,Gonda,183,2000,2250,2100
2025-06-25,Mango,20,Uttar Pradesh,9,Gonda,183,1975,2200,2050
2025-06-24,Mango,20,Uttar Pradesh,9,Gonda,183,2075,2325,2150
2025-06-23,Mango,20,Uttar Pradesh,9,Gonda,183,2175,2425,2275
2025-06-22,Mango,20,Uttar Pradesh,9,Gonda,183,2175,2450,2300
2025-06-21,Mango,20,Uttar Pradesh,9,Gonda,183,2175,2400,2250
2025-06-20,Mango,20,Uttar Pradesh,9,Gonda,183,2175,2400,2250
2025-06-19,Mango,20,Uttar Pradesh,9,Gonda,183,2200,2425,2337.5
2025-06-18,Mango,20,Uttar Pradesh,9,Gonda,183,2350,2550,2450
2025-06-17,Mango,20,Uttar Pradesh,9,Gonda,183,2375,2650,2500
2025-06-16,Mango,20,Uttar Pradesh,9,Gonda,183,2350,2600,2475
2025-06-15,Mango,20,Uttar Pradesh,9,Gonda,183,2475,2675,2550
2025-06-14,Mango,20,Uttar Pradesh,9,Gonda,183,2450,2675,2550
2025-06-13,Mango,20,Uttar Pradesh,9,Gonda,183,2525,2775,2600
2025-06-12,Mango,20,Uttar Pradesh,9,Gonda,183,2575,2850,2675
2025-06-11,Mango,20,Uttar Pradesh,9,Gonda,183,2450,2800,2600
2025-06-10,Mango,20,Uttar Pradesh,9,Gonda,183,2575,2850,2675
2025-06-09,Mango,20,Uttar Pradesh,9,Gonda,183,2600,2850,2725
2025-06-08,Mango,20,Uttar Pradesh,9,Gonda,183,2675,2925,2750
2025-06-07,Mango,20,Uttar Pradesh,9,Gonda,183,2700,2975,2825
2025-06-06,Mango,20,Uttar Pradesh,9,Gonda,183,2925,3250,3100
2025-06-05,Mango,20,Uttar Pradesh,9,Gonda,183,2925,3200,3025
2025-06-04,Mango,20,Uttar Pradesh,9,Gonda,183,3225,3450,3300
2025-06-03,Mango,20,Uttar Pradesh,9,Gonda,183,3300,3600,3450
2025-06-02,Mango,20,Uttar Pradesh,9,Gonda,183,3175,3425,3250
2025-06-01,Mango,20,Uttar Pradesh,9,Gonda,183,2950,3050,3000
2025-05-31,Mango,20,Uttar Pradesh,9,Gonda,183,3175,3375,3250
2025-05-30,Mango,20,Uttar Pradesh,9,Gonda,183,3350,3600,3450
2025-05-29,Mango,20,Uttar Pradesh,9,Gonda,183,3725,3975,3850
2025-05-28,Mango,20,Uttar Pradesh,9,Gonda,183,4025,4250,4125
2025-05-27,Mango,20,Uttar Pradesh,9,Gonda,183,4150,4500,4300
2025-05-26,Mango,20,Uttar Pradesh,9,Gonda,183,4500,4900,4600
2025-05-25,Mango,20,Uttar Pradesh,9,Gonda,183,4325,4700,4450
2025-05-24,Mango,20,Uttar Pradesh,9,Gonda,183,3800,4100,3900
2025-05-23,Mango,20,Uttar Pradesh,9,Gonda,183,4225,4575,4400
2025-05-22,Mango,20,Uttar Pradesh,9,Gonda,183,3600,3900,3700
2025-05-21,Mango,20,Uttar Pradesh,9,Gonda,183,4525,4825,4650
2025-05-20,Mango,20,Uttar Pradesh,9,Gonda,183,3900,4200,4000
2025-05-19,Mango,20,Uttar Pradesh,9,Gonda,183,4250,4500,4400
2025-05-18,Mango,20,Uttar Pradesh,9,Gonda,183,4100,4500,4300
2025-05-17,Mango,20,Uttar Pradesh,9,Gonda,183,4100,4500,4300
2025-05-16,Mango,20,Uttar Pradesh,9,Gonda,183,4250,4500,4400
2025-05-15,Mango,20,Uttar Pradesh,9,Gonda,183,4900,5200,5000
2025-05-14,Mango,20,Uttar Pradesh,9,Gonda,183,5050,5400,5200
2025-05-13,Mango,20,Uttar Pradesh,9,Gonda,183,5300,5600,5400
2025-05-12,Mango,20,Uttar Pradesh,9,Gonda,183,5400,5800,5600
2025-05-11,Mango,20,Uttar Pradesh,9,Gonda,183,5500,5900,5600
2025-05-10,Mango,20,Uttar Pradesh,9,Gonda,183,5300,5600,5500
2025-05-09,Mango,20,Uttar Pradesh,9,Gonda,183,5600,5900,5700
2025-05-08,Mango,20,Uttar Pradesh,9,Gonda,183,5500,5800,5600
2025-05-07,Mango,20,Uttar Pradesh,9,Gonda,183,5600,6000,5800
2025-05-06,Mango,20,Uttar Pradesh,9,Gonda,183,5600,6000,5800
2025-05-05,Mango,20,Uttar Pradesh,9,Gonda,183,5500,5800,5600
2025-05-04,Mango,20,Uttar Pradesh,9,Gonda,183,5300,5700,5500
2025-05-03,Mango,20,Uttar Pradesh,9,Gonda,183,5600,5900,5700
2025-04-30,Mango,20,Uttar Pradesh,9,Gonda,183,4950,5200,5000
2025-04-26,Mango,20,Uttar Pradesh,9,Gonda,183,5650,6000,5800
2025-04-18,Mango,20,Uttar Pradesh,9,Gonda,183,7450,7700,7500
2024-08-21,Mango,20,Uttar Pradesh,9,Gonda,183,5900,6300,6000
2024-08-19,Mango,20,Uttar Pradesh,9,Gonda,183,5350,5600,5400
2024-08-18,Mango,20,Uttar Pradesh,9,Gonda,183,5350,5600,5400
2024-08-14,Mango,20,Uttar Pradesh,9,Gonda,183,4800,5150,4900
2024-08-12,Mango,20,Uttar Pradesh,9,Gonda,183,4683.333333333333,4916.666666666667,4766.666666666667
2024-08-11,Mango,20,Uttar Pradesh,9,Gonda,183,4666.666666666667,4916.666666666667,4750
2024-08-10,Mango,20,Uttar Pradesh,9,Gonda,183,4250,4475,4350
2024-08-09,Mango,20,Uttar Pradesh,9,Gonda,183,4550,4800,4633.333333333333
2024-08-08,Mango,20,Uttar Pradesh,9,Gonda,183,4516.666666666667,4800,4633.333333333333
2024-08-07,Mango,20,Uttar Pradesh,9,Gonda,183,4433.333333333333,4666.666666666667,4500
2024-08-06,Mango,20,Uttar Pradesh,9,Gonda,183,4566.666666666667,4766.666666666667,4616.666666666667
2024-08-05,Mango,20,Uttar Pradesh,9,Gonda,183,4325,4575,4412.5
2024-08-04,Mango,20,Uttar Pradesh,9,Gonda,183,4262.5,4512.5,4375
2024-07-31,Mango,20,Uttar Pradesh,9,Gonda,183,3912.5,4225,4037.5
2024-07-30,Mango,20,Uttar Pradesh,9,Gonda,183,3783.3333333333335,4133.333333333333,3933.3333333333335
2024-07-29,Mango,20,Uttar Pradesh,9,Gonda,183,3916.6666666666665,4200,4033.3333333333335
2024-07-28,Mango,20,Uttar Pradesh,9,Gonda,183,3750,4100,3900
2024-07-27,Mango,20,Uttar Pradesh,9,Gonda,183,3525,3800,3637.5
2024-07-26,Mango,20,Uttar Pradesh,9,Gonda,183,3462.5,3787.5,3575
2024-07-25,Mango,20,Uttar Pradesh,9,Gonda,183,2900,3100,3000
2024-07-24,Mango,20,Uttar Pradesh,9,Gonda,183,2835,3125,2910
2024-07-23,Mango,20,Uttar Pradesh,9,Gonda,183,2850,3175,3000
2024-07-22,Mango,20,Uttar Pradesh,9,Gonda,183,2850,3025,2937.5
2024-07-21,Mango,20,Uttar Pradesh,9,Gonda,183,2800,3050,2887.5
