date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-07-15,Masur Dal,259,Chhattisgarh,22,Kabeerdham,407,5300,5300,5300
2025-07-09,Masur Dal,259,Chhattisgarh,22,Kabeerdham,407,4500,5200,5200
2025-06-30,Masur Dal,259,Chhattisgarh,22,Kabeerdham,407,5200,5401,5401
2025-06-21,Masur Dal,259,Chhattisgarh,22,Kabeerdham,407,5181,5181,5181
2025-06-19,Masur Dal,259,Chhattisgarh,22,Kabeerdham,407,5351,5450,5450
2025-06-04,Masur Dal,259,Chhattisgarh,22,Kabeerdham,407,5300,5300,5300
2025-05-21,Masur Dal,259,Chhattisgarh,22,Kabeerdham,407,5245,5245,5245
2025-05-20,Masur Dal,259,Chhattisgarh,22,Kabeerdham,407,5200,5200,5200
2025-05-13,Masur Dal,259,Chhattisgarh,22,Kabeerdham,407,5450,5450,5450
2025-05-11,Masur Dal,259,Chhattisgarh,22,Kabeerdham,407,5380,5380,5380
2025-04-24,Masur Dal,259,Chhattisgarh,22,Kabeerdham,407,5300,5300,5300
