date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2750,3250,3000
2025-10-29,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-28,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-27,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2500,3000,2800
2025-10-25,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2800,3000,2800
2025-10-24,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-23,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-22,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-21,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2500,3000,2800
2025-10-20,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-19,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2750,3250,3000
2025-10-18,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-17,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2500,3500,3000
2025-10-16,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-15,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-14,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-12,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2500,3000,2800
2025-10-11,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2800,3000,2800
2025-10-10,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2800,3000,2800
2025-10-09,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-08,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-07,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-05,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2800,3000,2800
2025-10-04,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-03,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2750,3250,3000
2025-10-02,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,3000,3500,3200
2025-10-01,Mousambi (Sweet Lime),77,Haryana,6,Sonipat,76,2800,3000,2800
