date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,1810,2000,1850
2025-10-29,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2555,2700,2605
2025-10-28,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2545,2690,2570
2025-10-27,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2535,2675,2575
2025-10-26,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2545,2685,2585
2025-10-25,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2555,2700,2600
2025-10-24,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2540,2690,2590
2025-10-23,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,3300,3370,3340
2025-10-22,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,1810,2000,1850
2025-10-20,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,1810,2000,1850
2025-10-19,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,1810,2000,1850
2025-10-18,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2510,2650,2555
2025-10-17,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2515,2650,2560
2025-10-16,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,3200,3330,3260
2025-10-15,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2505,2650,2550
2025-10-14,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2520,2675,2570
2025-10-13,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,3160,3270,3220
2025-10-12,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2505,2650,2550
2025-10-11,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2515,2650,2555
2025-10-10,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,1810,2000,1850
2025-10-09,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,1810,2000,1850
2025-10-08,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,1810,2000,1850
2025-10-07,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,1810,2000,1850
2025-10-06,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2505,2650,2555
2025-10-05,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2515,2650,2560
2025-10-04,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2525,2665,2565
2025-10-03,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,3210,3350,3280
2025-10-02,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2505,2650,2555
2025-10-01,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,1810,2000,1850
2025-09-30,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2505,2650,2555
2025-09-29,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2480,2630,2535
2025-09-28,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2480,2625,2525
2025-09-27,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,3180,3300,3240
2025-09-26,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2490,2640,2535
2025-09-25,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2515,2665,2560
2025-09-24,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,3200,3300,3250
2025-09-23,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,3200,3300,3260
2025-09-22,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2455,2610,2500
2025-09-21,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,3120,3250,3200
2025-09-20,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2405,2550,2450
2025-09-19,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2415,2575,2475
2025-09-18,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2455,2600,2505
2025-09-17,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2470,2630,2525
2025-09-16,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2480,2635,2535
2025-09-15,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2480,2625,2525
2025-09-14,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2465,2625,2515
2025-09-13,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2495,2635,2535
2025-09-12,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2480,2625,2525
2025-09-11,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2610,3110,2845
2025-09-10,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,3150,3250,3200
2025-09-09,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,3160,3270,3220
2025-09-08,Mousambi (Sweet Lime),77,Uttar Pradesh,9,Jyotiba Phule Nagar,137,2505,2650,2550
