date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-27,Mustard,12,NCT of Delhi,7,South West,97,6000,6291,6291
2025-10-26,Mustard,12,NCT of Delhi,7,South West,97,6200,6761,6501
2025-10-24,Mustard,12,NCT of Delhi,7,South West,97,6335,6400,6335
2025-10-23,Mustard,12,NCT of Delhi,7,South West,97,6320,6400,6320
2025-10-17,Mustard,12,NCT of Delhi,7,South West,97,6100,6100,6100
2025-10-13,Mustard,12,NCT of Delhi,7,South West,97,5925,5925,5925
2025-10-12,Mustard,12,NCT of Delhi,7,South West,97,5900,6400,6200
2025-10-11,Mustard,12,NCT of Delhi,7,South West,97,6200,6450,6300
2025-10-10,Mustard,12,NCT of Delhi,7,South West,97,6355,6500,6500
2025-10-05,Mustard,12,NCT of Delhi,7,South West,97,6200,6200,6200
2025-10-04,Mustard,12,NCT of Delhi,7,South West,97,6100,6300,6100
2025-10-03,Mustard,12,NCT of Delhi,7,South West,97,6400,6411,6400
2025-09-29,Mustard,12,NCT of Delhi,7,South West,97,6400,6657,6400
2025-09-28,Mustard,12,NCT of Delhi,7,South West,97,6420,6650,6650
2025-09-26,Mustard,12,NCT of Delhi,7,South West,97,6400,6851,6560
2025-09-25,Mustard,12,NCT of Delhi,7,South West,97,6500,6650,6650
2025-09-22,Mustard,12,NCT of Delhi,7,South West,97,6500,6700,6500
2025-09-21,Mustard,12,NCT of Delhi,7,South West,97,6540,6801,6750
2025-09-19,Mustard,12,NCT of Delhi,7,South West,97,6600,6700,6700
2025-09-18,Mustard,12,NCT of Delhi,7,South West,97,6700,6700,6700
2025-09-15,Mustard,12,NCT of Delhi,7,South West,97,6600,6815,6700
2025-09-14,Mustard,12,NCT of Delhi,7,South West,97,6000,6500,6500
2025-09-13,Mustard,12,NCT of Delhi,7,South West,97,6650,6650,6650
2025-09-12,Mustard,12,NCT of Delhi,7,South West,97,6500,6500,6500
2025-09-11,Mustard,12,NCT of Delhi,7,South West,97,6200,6950,6826
2025-09-08,Mustard,12,NCT of Delhi,7,South West,97,6250,6600,6470
2025-09-07,Mustard,12,NCT of Delhi,7,South West,97,6000,6700,6350
2025-09-06,Mustard,12,NCT of Delhi,7,South West,97,6300,6700,6600
2025-09-05,Mustard,12,NCT of Delhi,7,South West,97,6400,6888,6888
2025-09-04,Mustard,12,NCT of Delhi,7,South West,97,6500,6861,6500
2025-08-24,Mustard,12,NCT of Delhi,7,South West,97,6500,6500,6500
2025-08-23,Mustard,12,NCT of Delhi,7,South West,97,6700,6700,6700
2025-08-22,Mustard,12,NCT of Delhi,7,South West,97,6721,6721,6721
2025-08-21,Mustard,12,NCT of Delhi,7,South West,97,6440,6525,6440
2025-08-18,Mustard,12,NCT of Delhi,7,South West,97,6751,6751,6751
2025-08-17,Mustard,12,NCT of Delhi,7,South West,97,6550,6550,6550
2025-08-11,Mustard,12,NCT of Delhi,7,South West,97,6200,6821,6821
2025-08-10,Mustard,12,NCT of Delhi,7,South West,97,6690,6690,6690
