date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-29,Onion,23,Madhya Pradesh,23,Raisen,446,1300,1500,1400
2025-10-28,Onion,23,Madhya Pradesh,23,Raisen,446,1000,1400,1200
2025-10-27,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-10-25,Onion,23,Madhya Pradesh,23,Raisen,446,1300,1500,1400
2025-10-24,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1400,1300
2025-10-23,Onion,23,Madhya Pradesh,23,Raisen,446,1000,1400,1200
2025-10-22,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-10-21,Onion,23,Madhya Pradesh,23,Raisen,446,1000,1400,1200
2025-10-18,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1400,1300
2025-10-17,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-10-16,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-10-15,Onion,23,Madhya Pradesh,23,Raisen,446,1200,2000,1600
2025-10-14,Onion,23,Madhya Pradesh,23,Raisen,446,1400,2000,1800
2025-10-13,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-10-11,Onion,23,Madhya Pradesh,23,Raisen,446,1600,1800,1700
2025-10-09,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-10-08,Onion,23,Madhya Pradesh,23,Raisen,446,1300,1500,1400
2025-10-07,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-10-06,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-10-04,Onion,23,Madhya Pradesh,23,Raisen,446,1400,1800,1600
2025-10-03,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-10-01,Onion,23,Madhya Pradesh,23,Raisen,446,1400,1800,1600
2025-09-30,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-09-29,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-09-26,Onion,23,Madhya Pradesh,23,Raisen,446,1400,1800,1600
2025-09-25,Onion,23,Madhya Pradesh,23,Raisen,446,1300,1500,1400
2025-09-24,Onion,23,Madhya Pradesh,23,Raisen,446,1200,1600,1400
2025-09-23,Onion,23,Madhya Pradesh,23,Raisen,446,1000,1400,1200
2025-09-22,Onion,23,Madhya Pradesh,23,Raisen,446,1000,1400,1200
2025-09-20,Onion,23,Madhya Pradesh,23,Raisen,446,1400,1800,1600
