date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Papaya,72,Karnataka,29,Bangalore,572,1000,1600,1400
2025-10-29,Papaya,72,Karnataka,29,Bangalore,572,1000,1800,1600
2025-10-28,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1200
2025-10-27,Papaya,72,Karnataka,29,Bangalore,572,800,1600,1200
2025-10-24,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-10-23,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-10-18,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-10-17,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-10-16,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1200
2025-10-15,Papaya,72,Karnataka,29,Bangalore,572,1000,1600,1400
2025-10-14,Papaya,72,Karnataka,29,Bangalore,572,1000,1800,1500
2025-10-13,Papaya,72,Karnataka,29,Bangalore,572,1000,1800,1400
2025-10-09,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-10-08,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-10-06,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-10-04,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-10-03,Papaya,72,Karnataka,29,Bangalore,572,1000,1400,1200
2025-09-30,Papaya,72,Karnataka,29,Bangalore,572,800,1600,1200
2025-09-29,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-09-26,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-09-25,Papaya,72,Karnataka,29,Bangalore,572,1000,1600,1200
2025-09-24,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-09-23,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-09-22,Papaya,72,Karnataka,29,Bangalore,572,800,1600,1200
2025-09-20,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1200
2025-09-19,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-09-18,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-09-17,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-09-16,Papaya,72,Karnataka,29,Bangalore,572,1000,1600,1400
2025-09-15,Papaya,72,Karnataka,29,Bangalore,572,800,1600,1200
2025-09-12,Papaya,72,Karnataka,29,Bangalore,572,800,1500,1000
2025-09-10,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-09-09,Papaya,72,Karnataka,29,Bangalore,572,800,1600,1000
2025-09-08,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-09-06,Papaya,72,Karnataka,29,Bangalore,572,800,1600,1200
2025-09-04,Papaya,72,Karnataka,29,Bangalore,572,1000,1500,1300
2025-09-03,Papaya,72,Karnataka,29,Bangalore,572,1000,1400,1200
2025-09-02,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-09-01,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-08-29,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1200
2025-08-28,Papaya,72,Karnataka,29,Bangalore,572,800,1500,1200
2025-08-26,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1200
2025-08-25,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-08-22,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-08-21,Papaya,72,Karnataka,29,Bangalore,572,800,1600,1200
2025-08-20,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-08-19,Papaya,72,Karnataka,29,Bangalore,572,800,1200,1000
2025-08-18,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1000
2025-08-16,Papaya,72,Karnataka,29,Bangalore,572,800,1200,1000
2025-08-14,Papaya,72,Karnataka,29,Bangalore,572,800,1200,900
2025-08-13,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1200
2025-08-12,Papaya,72,Karnataka,29,Bangalore,572,800,1200,1000
2025-08-11,Papaya,72,Karnataka,29,Bangalore,572,800,1200,1000
2025-08-08,Papaya,72,Karnataka,29,Bangalore,572,800,1400,1200
