date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-04-03,Papaya,72,Punjab,3,Tarn Taran,50,4000,5000,4500
2025-03-27,Papaya,72,Punjab,3,Tarn Taran,50,1500,2000,1800
2025-03-25,Papaya,72,Punjab,3,Tarn Taran,50,4000,4500,4200
2025-03-23,Papaya,72,Punjab,3,Tarn Taran,50,3000,4000,3500
2025-03-17,Papaya,72,Punjab,3,Tarn Taran,50,1800,2200,2000
2025-03-11,Papaya,72,Punjab,3,Tarn Taran,50,2000,2500,2200
2025-03-10,Papaya,72,Punjab,3,Tarn Taran,50,1800,2200,2000
2025-02-14,Papaya,72,Punjab,3,Tarn Taran,50,2600,3000,2800
2025-02-13,Papaya,72,Punjab,3,Tarn Taran,50,2600,3000,2800
2025-01-16,Papaya,72,Punjab,3,Tarn Taran,50,3000,4000,3500
2024-08-21,Papaya,72,Punjab,3,Tarn Taran,50,2400,2800,2600
2024-08-19,Papaya,72,Punjab,3,Tarn Taran,50,2400,2800,2600
2024-04-27,Papaya,72,Punjab,3,Tarn Taran,50,5000,6000,5500
2024-04-22,Papaya,72,Punjab,3,Tarn Taran,50,4009,4500,4400
2024-04-20,Papaya,72,Punjab,3,Tarn Taran,50,3000,3500,3400
2024-04-19,Papaya,72,Punjab,3,Tarn Taran,50,4000,6000,5000
2024-04-17,Papaya,72,Punjab,3,Tarn Taran,50,2400,2600,2500
2024-04-16,Papaya,72,Punjab,3,Tarn Taran,50,2400,2600,2500
2024-04-15,Papaya,72,Punjab,3,Tarn Taran,50,4000,5000,4500
2024-04-14,Papaya,72,Punjab,3,Tarn Taran,50,4000,5000,4500
2024-04-11,Papaya,72,Punjab,3,Tarn Taran,50,2000,2400,2200
2024-04-09,Papaya,72,Punjab,3,Tarn Taran,50,2200,2500,2500
2024-04-07,Papaya,72,Punjab,3,Tarn Taran,50,4000,5000,4500
2024-02-02,Papaya,72,Punjab,3,Tarn Taran,50,2100,2500,2300
2024-02-01,Papaya,72,Punjab,3,Tarn Taran,50,2100,2400,2300
2024-01-31,Papaya,72,Punjab,3,Tarn Taran,50,1900,2300,2100
2024-01-30,Papaya,72,Punjab,3,Tarn Taran,50,1900,2350,2100
2024-01-29,Papaya,72,Punjab,3,Tarn Taran,50,2000,2650,2300
2024-01-28,Papaya,72,Punjab,3,Tarn Taran,50,1750,2250,2000
2024-01-27,Papaya,72,Punjab,3,Tarn Taran,50,1900,2250,2100
2024-01-26,Papaya,72,Punjab,3,Tarn Taran,50,1750,2200,2000
2024-01-25,Papaya,72,Punjab,3,Tarn Taran,50,2000,2500,2200
2024-01-24,Papaya,72,Punjab,3,Tarn Taran,50,2100,2400,2250
2024-01-23,Papaya,72,Punjab,3,Tarn Taran,50,2100,2500,2300
2024-01-22,Papaya,72,Punjab,3,Tarn Taran,50,2000,2500,2250
2024-01-21,Papaya,72,Punjab,3,Tarn Taran,50,2150,2800,2500
2024-01-20,Papaya,72,Punjab,3,Tarn Taran,50,2100,2650,2350
2024-01-19,Papaya,72,Punjab,3,Tarn Taran,50,2050,2350,2200
2024-01-18,Papaya,72,Punjab,3,Tarn Taran,50,1850,2250,2100
2024-01-17,Papaya,72,Punjab,3,Tarn Taran,50,1850,2200,2050
2024-01-16,Papaya,72,Punjab,3,Tarn Taran,50,1700,2200,2000
2024-01-15,Papaya,72,Punjab,3,Tarn Taran,50,1900,2400,2250
2024-01-14,Papaya,72,Punjab,3,Tarn Taran,50,1700,2050,1850
2024-01-13,Papaya,72,Punjab,3,Tarn Taran,50,2100,2550,2350
2024-01-12,Papaya,72,Punjab,3,Tarn Taran,50,1900,2300,2100
2024-01-11,Papaya,72,Punjab,3,Tarn Taran,50,2000,2500,2200
2024-01-10,Papaya,72,Punjab,3,Tarn Taran,50,2000,2450,2200
2024-01-09,Papaya,72,Punjab,3,Tarn Taran,50,2250,2750,2500
2024-01-08,Papaya,72,Punjab,3,Tarn Taran,50,1900,2500,2100
2024-01-07,Papaya,72,Punjab,3,Tarn Taran,50,1900,2350,2100
2024-01-06,Papaya,72,Punjab,3,Tarn Taran,50,2250,2750,2500
2024-01-05,Papaya,72,Punjab,3,Tarn Taran,50,2100,2550,2300
2024-01-04,Papaya,72,Punjab,3,Tarn Taran,50,2000,2500,2200
2024-01-03,Papaya,72,Punjab,3,Tarn Taran,50,1900,2350,2100
2024-01-02,Papaya,72,Punjab,3,Tarn Taran,50,2000,2400,2200
2024-01-01,Papaya,72,Punjab,3,Tarn Taran,50,2000,2300,2150
2023-12-31,Papaya,72,Punjab,3,Tarn Taran,50,2000,2500,2200
2023-12-30,Papaya,72,Punjab,3,Tarn Taran,50,2250,2750,2500
2023-12-29,Papaya,72,Punjab,3,Tarn Taran,50,2000,2500,2200
2023-12-28,Papaya,72,Punjab,3,Tarn Taran,50,2200,2650,2400
2023-12-27,Papaya,72,Punjab,3,Tarn Taran,50,2100,2500,2300
2023-12-26,Papaya,72,Punjab,3,Tarn Taran,50,2300,2600,2450
2023-12-25,Papaya,72,Punjab,3,Tarn Taran,50,2500,3150,2800
2023-12-24,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2600
2023-12-23,Papaya,72,Punjab,3,Tarn Taran,50,2350,2700,2500
2023-12-22,Papaya,72,Punjab,3,Tarn Taran,50,2300,2700,2450
2023-12-21,Papaya,72,Punjab,3,Tarn Taran,50,2500,2900,2700
2023-12-20,Papaya,72,Punjab,3,Tarn Taran,50,2650,3150,2800
2023-12-19,Papaya,72,Punjab,3,Tarn Taran,50,2700,3200,3000
2023-12-18,Papaya,72,Punjab,3,Tarn Taran,50,2200,2900,2550
2023-12-17,Papaya,72,Punjab,3,Tarn Taran,50,2800,3350,3000
2023-12-16,Papaya,72,Punjab,3,Tarn Taran,50,3000,3450,3200
2023-12-15,Papaya,72,Punjab,3,Tarn Taran,50,3000,4000,3500
2023-12-14,Papaya,72,Punjab,3,Tarn Taran,50,3000,3650,3350
2023-12-13,Papaya,72,Punjab,3,Tarn Taran,50,3100,3500,3300
2023-12-12,Papaya,72,Punjab,3,Tarn Taran,50,3100,4000,3500
2023-12-11,Papaya,72,Punjab,3,Tarn Taran,50,4000,4600,4500
2023-12-10,Papaya,72,Punjab,3,Tarn Taran,50,3500,4250,3850
2023-12-09,Papaya,72,Punjab,3,Tarn Taran,50,4000,4750,4350
2023-12-08,Papaya,72,Punjab,3,Tarn Taran,50,3900,4650,4250
2023-12-07,Papaya,72,Punjab,3,Tarn Taran,50,4000,4500,4200
2023-12-06,Papaya,72,Punjab,3,Tarn Taran,50,3500,4250,3850
2023-12-05,Papaya,72,Punjab,3,Tarn Taran,50,4000,4900,4500
2023-12-04,Papaya,72,Punjab,3,Tarn Taran,50,3750,4250,4000
2023-12-03,Papaya,72,Punjab,3,Tarn Taran,50,3100,3600,3450
2023-12-02,Papaya,72,Punjab,3,Tarn Taran,50,3250,3850,3650
2023-12-01,Papaya,72,Punjab,3,Tarn Taran,50,4000,4500,4200
2023-08-14,Papaya,72,Punjab,3,Tarn Taran,50,3000,3500,3200
2023-08-08,Papaya,72,Punjab,3,Tarn Taran,50,2800,3200,3000
2023-07-10,Papaya,72,Punjab,3,Tarn Taran,50,3500,4500,4000
2022-09-19,Papaya,72,Punjab,3,Tarn Taran,50,2400,3000,2600
2022-09-08,Papaya,72,Punjab,3,Tarn Taran,50,4000,5000,4500
2022-08-30,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2700
2022-08-29,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2700
2022-08-28,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2700
2022-08-27,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-26,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-25,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-24,Papaya,72,Punjab,3,Tarn Taran,50,2450,2750,2650
2022-08-23,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-22,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-20,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-19,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-18,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-17,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-16,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-15,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-14,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-12,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-11,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2700
2022-08-10,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-09,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-08,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-06,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-05,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-04,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-02,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-08-01,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-07-31,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-07-30,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-07-29,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-07-27,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-07-26,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-07-25,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-07-23,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2700
2022-07-22,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-07-21,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-07-19,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-07-18,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2700
2022-07-16,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2700
2022-07-11,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-25,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-24,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-22,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-21,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-20,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-19,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-18,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-17,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-16,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-15,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-14,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-13,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-11,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-10,Papaya,72,Punjab,3,Tarn Taran,50,2250,3000,2750
2022-06-09,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2750
2022-06-08,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-07,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-06,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-06-04,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-31,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-30,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-28,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-27,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-26,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-25,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-24,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-23,Papaya,72,Punjab,3,Tarn Taran,50,3250,3500,3350
2022-05-21,Papaya,72,Punjab,3,Tarn Taran,50,2250,2750,2500
2022-05-20,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-19,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-18,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-17,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-16,Papaya,72,Punjab,3,Tarn Taran,50,2450,2750,2650
2022-05-14,Papaya,72,Punjab,3,Tarn Taran,50,2500,2500,2500
2022-05-13,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2700
2022-05-12,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2700
2022-05-11,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2700
2022-05-10,Papaya,72,Punjab,3,Tarn Taran,50,2500,3000,2700
2022-05-09,Papaya,72,Punjab,3,Tarn Taran,50,3000,3000,3000
2022-05-08,Papaya,72,Punjab,3,Tarn Taran,50,3000,3000,3000
2022-05-07,Papaya,72,Punjab,3,Tarn Taran,50,3000,3000,3000
2022-05-06,Papaya,72,Punjab,3,Tarn Taran,50,2000,2500,2200
2022-05-05,Papaya,72,Punjab,3,Tarn Taran,50,1200,1800,1500
2022-05-04,Papaya,72,Punjab,3,Tarn Taran,50,2500,2750,2600
