date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2024-01-31,Papaya,72,West Bengal,19,Maldah,332,1825,2125,2010
2024-01-30,Papaya,72,West Bengal,19,Maldah,332,1775,2100,1950
2024-01-29,Papaya,72,West Bengal,19,Maldah,332,1750,2042.5,1920
2024-01-28,Papaya,72,West Bengal,19,Maldah,332,2050,2350,2200
2024-01-27,Papaya,72,West Bengal,19,Maldah,332,2050,2350,2200
2024-01-26,Papaya,72,West Bengal,19,Maldah,332,2050,2350,2200
2024-01-25,Papaya,72,West Bengal,19,Maldah,332,1950,2300,2100
2024-01-24,Papaya,72,West Bengal,19,Maldah,332,2075,2350,2150
2024-01-23,Papaya,72,West Bengal,19,Maldah,332,2000,2350,2200
2024-01-22,Papaya,72,West Bengal,19,Maldah,332,1950,2350,2100
2024-01-21,Papaya,72,West Bengal,19,Maldah,332,2000,2300,2100
2024-01-20,Papaya,72,West Bengal,19,Maldah,332,2075,2350,2200
2024-01-19,Papaya,72,West Bengal,19,Maldah,332,2000,2350,2150
2024-01-18,Papaya,72,West Bengal,19,Maldah,332,2012.5,2275,2175
2024-01-17,Papaya,72,West Bengal,19,Maldah,332,2125,2300,2200
2024-01-16,Papaya,72,West Bengal,19,Maldah,332,2150,2375,2275
2024-01-15,Papaya,72,West Bengal,19,Maldah,332,2050,2275,2175
2024-01-14,Papaya,72,West Bengal,19,Maldah,332,1950,2200,2050
2024-01-13,Papaya,72,West Bengal,19,Maldah,332,2050,2350,2200
2024-01-12,Papaya,72,West Bengal,19,Maldah,332,2000,2300,2150
2024-01-11,Papaya,72,West Bengal,19,Maldah,332,1900,2350,2100
2024-01-10,Papaya,72,West Bengal,19,Maldah,332,2362.5,2662.5,2512.5
2024-01-09,Papaya,72,West Bengal,19,Maldah,332,2475,2850,2675
2024-01-08,Papaya,72,West Bengal,19,Maldah,332,2566.6666666666665,2900,2733.3333333333335
2024-01-07,Papaya,72,West Bengal,19,Maldah,332,2475,2875,2675
2024-01-06,Papaya,72,West Bengal,19,Maldah,332,2666.6666666666665,3033.3333333333335,2900
2024-01-05,Papaya,72,West Bengal,19,Maldah,332,2500,2766.6666666666665,2633.3333333333335
2024-01-04,Papaya,72,West Bengal,19,Maldah,332,2666.6666666666665,2866.6666666666665,2766.6666666666665
2024-01-03,Papaya,72,West Bengal,19,Maldah,332,2500,2800,2633.3333333333335
2024-01-02,Papaya,72,West Bengal,19,Maldah,332,2566.6666666666665,2733.3333333333335,2650
2024-01-01,Papaya,72,West Bengal,19,Maldah,332,2466.6666666666665,2733.3333333333335,2616.6666666666665
2023-12-31,Papaya,72,West Bengal,19,Maldah,332,2500,3000,2800
2023-12-30,Papaya,72,West Bengal,19,Maldah,332,2500,2700,2600
2023-12-29,Papaya,72,West Bengal,19,Maldah,332,2933.3333333333335,3066.6666666666665,3000
2023-12-28,Papaya,72,West Bengal,19,Maldah,332,2966.6666666666665,3133.3333333333335,3033.3333333333335
2023-12-27,Papaya,72,West Bengal,19,Maldah,332,3000,3500,3200
2023-12-26,Papaya,72,West Bengal,19,Maldah,332,3000,3500,3200
2023-12-25,Papaya,72,West Bengal,19,Maldah,332,3000,3400,3200
2023-12-24,Papaya,72,West Bengal,19,Maldah,332,3200,3500,3300
2023-12-23,Papaya,72,West Bengal,19,Maldah,332,3000,3300,3200
2023-12-22,Papaya,72,West Bengal,19,Maldah,332,3000,3500,3300
2023-12-21,Papaya,72,West Bengal,19,Maldah,332,3066.6666666666665,3366.6666666666665,3233.3333333333335
2023-12-20,Papaya,72,West Bengal,19,Maldah,332,3133.3333333333335,3366.6666666666665,3266.6666666666665
2023-12-19,Papaya,72,West Bengal,19,Maldah,332,3666.6666666666665,3866.6666666666665,3766.6666666666665
2023-12-18,Papaya,72,West Bengal,19,Maldah,332,3866.6666666666665,4100,3966.6666666666665
2023-12-17,Papaya,72,West Bengal,19,Maldah,332,3866.6666666666665,4100,3966.6666666666665
2023-12-16,Papaya,72,West Bengal,19,Maldah,332,3950,4375,4200
2023-12-15,Papaya,72,West Bengal,19,Maldah,332,3275,4325,4200
2023-12-14,Papaya,72,West Bengal,19,Maldah,332,4000,4400,4200
2023-12-13,Papaya,72,West Bengal,19,Maldah,332,4000,4500,4200
2023-12-12,Papaya,72,West Bengal,19,Maldah,332,4566.666666666667,4866.666666666667,4700
2023-12-11,Papaya,72,West Bengal,19,Maldah,332,4500,4866.666666666667,4700
2023-12-10,Papaya,72,West Bengal,19,Maldah,332,4500,4866.666666666667,4666.666666666667
2023-12-09,Papaya,72,West Bengal,19,Maldah,332,4533.333333333333,4866.666666666667,4700
2023-12-08,Papaya,72,West Bengal,19,Maldah,332,4500,4866.666666666667,4733.333333333333
2023-12-07,Papaya,72,West Bengal,19,Maldah,332,4500,5000,4800
2023-12-06,Papaya,72,West Bengal,19,Maldah,332,4500,4800,4666.666666666667
2023-12-05,Papaya,72,West Bengal,19,Maldah,332,4500,4800,4666.666666666667
2023-12-04,Papaya,72,West Bengal,19,Maldah,332,4500,4766.666666666667,4666.666666666667
2023-12-03,Papaya,72,West Bengal,19,Maldah,332,4466.666666666667,4800,4666.666666666667
2023-12-02,Papaya,72,West Bengal,19,Maldah,332,4500,4800,4666.666666666667
2023-12-01,Papaya,72,West Bengal,19,Maldah,332,4500,4800,4666.666666666667
