date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-22,Peas Wet,174,Haryana,6,Mahendragarh,84,5000,5000,5000
2025-03-19,Peas Wet,174,Haryana,6,Mahendragarh,84,3000,3000,3000
2025-03-18,Peas Wet,174,Haryana,6,Mahendragarh,84,2000,2000,2000
2025-03-17,Peas Wet,174,Haryana,6,Mahendragarh,84,2500,2500,2500
2025-03-16,Peas Wet,174,Haryana,6,Mahendragarh,84,2500,3000,2500
2025-03-15,Peas Wet,174,Haryana,6,Mahendragarh,84,2250,2250,2250
2025-03-13,Peas Wet,174,Haryana,6,Mahendragarh,84,2000,2000,2000
2025-03-12,Peas Wet,174,Haryana,6,Mahendragarh,84,2100,2600,2600
2025-03-11,Peas Wet,174,Haryana,6,Mahendragarh,84,1650,2350,1900
2025-03-10,Peas Wet,174,Haryana,6,Mahendragarh,84,1500,2250,1800
2025-03-09,Peas Wet,174,Haryana,6,Mahendragarh,84,1600,2000,1750
2025-03-08,Peas Wet,174,Haryana,6,Mahendragarh,84,1350,1900,1750
2025-03-07,Peas Wet,174,Haryana,6,Mahendragarh,84,1350,1750,1600
2025-03-06,Peas Wet,174,Haryana,6,Mahendragarh,84,1250,1800,1600
2025-03-05,Peas Wet,174,Haryana,6,Mahendragarh,84,1200,1750,1500
2025-03-04,Peas Wet,174,Haryana,6,Mahendragarh,84,1400,1750,1650
2025-03-03,Peas Wet,174,Haryana,6,Mahendragarh,84,1250,1750,1600
2025-03-02,Peas Wet,174,Haryana,6,Mahendragarh,84,1300,1750,1500
2025-03-01,Peas Wet,174,Haryana,6,Mahendragarh,84,1100,1750,1450
2025-02-28,Peas Wet,174,Haryana,6,Mahendragarh,84,1250,1750,1500
2025-02-27,Peas Wet,174,Haryana,6,Mahendragarh,84,800,2000,1500
2025-02-26,Peas Wet,174,Haryana,6,Mahendragarh,84,1100,2000,1500
2025-02-25,Peas Wet,174,Haryana,6,Mahendragarh,84,1500,2000,1650
2025-02-24,Peas Wet,174,Haryana,6,Mahendragarh,84,1200,1900,1500
2025-02-23,Peas Wet,174,Haryana,6,Mahendragarh,84,1400,2000,1750
2025-02-22,Peas Wet,174,Haryana,6,Mahendragarh,84,1200,1900,1500
2025-02-21,Peas Wet,174,Haryana,6,Mahendragarh,84,1250,1750,1500
2025-02-20,Peas Wet,174,Haryana,6,Mahendragarh,84,1100,1750,1500
2025-02-19,Peas Wet,174,Haryana,6,Mahendragarh,84,1350,1750,1450
2025-02-18,Peas Wet,174,Haryana,6,Mahendragarh,84,1200,2000,1500
2025-02-17,Peas Wet,174,Haryana,6,Mahendragarh,84,1250,1900,1550
2025-02-16,Peas Wet,174,Haryana,6,Mahendragarh,84,1200,1750,1500
2025-02-15,Peas Wet,174,Haryana,6,Mahendragarh,84,1100,1900,1650
2025-02-14,Peas Wet,174,Haryana,6,Mahendragarh,84,1150,1750,1500
2025-02-13,Peas Wet,174,Haryana,6,Mahendragarh,84,1200,2000,1800
2025-02-11,Peas Wet,174,Haryana,6,Mahendragarh,84,1200,1900,1650
2025-02-10,Peas Wet,174,Haryana,6,Mahendragarh,84,1450,2100,1700
2025-02-09,Peas Wet,174,Haryana,6,Mahendragarh,84,1300,2000,1550
2025-02-08,Peas Wet,174,Haryana,6,Mahendragarh,84,1350,1800,1650
2025-02-07,Peas Wet,174,Haryana,6,Mahendragarh,84,1350,1900,1700
2025-02-06,Peas Wet,174,Haryana,6,Mahendragarh,84,1350,2000,1700
2025-02-05,Peas Wet,174,Haryana,6,Mahendragarh,84,1250,2000,1800
2025-02-04,Peas Wet,174,Haryana,6,Mahendragarh,84,1500,2000,1900
2025-02-03,Peas Wet,174,Haryana,6,Mahendragarh,84,1500,2000,1650
2025-02-02,Peas Wet,174,Haryana,6,Mahendragarh,84,1500,2000,1750
2025-02-01,Peas Wet,174,Haryana,6,Mahendragarh,84,1500,2350,1900
2025-01-31,Peas Wet,174,Haryana,6,Mahendragarh,84,1500,2000,1800
2025-01-30,Peas Wet,174,Haryana,6,Mahendragarh,84,1900,2500,2000
2025-01-29,Peas Wet,174,Haryana,6,Mahendragarh,84,1800,2200,2000
2025-01-28,Peas Wet,174,Haryana,6,Mahendragarh,84,1400,2500,2100
2025-01-27,Peas Wet,174,Haryana,6,Mahendragarh,84,1900,2500,2150
2025-01-26,Peas Wet,174,Haryana,6,Mahendragarh,84,2000,2500,2200
2025-01-25,Peas Wet,174,Haryana,6,Mahendragarh,84,1850,2550,2250
2025-01-24,Peas Wet,174,Haryana,6,Mahendragarh,84,1900,2750,2600
2025-01-23,Peas Wet,174,Haryana,6,Mahendragarh,84,2150,3050,2750
2025-01-22,Peas Wet,174,Haryana,6,Mahendragarh,84,1900,3000,2850
2025-01-21,Peas Wet,174,Haryana,6,Mahendragarh,84,2250,3000,2750
2025-01-20,Peas Wet,174,Haryana,6,Mahendragarh,84,2250,3100,2750
2025-01-19,Peas Wet,174,Haryana,6,Mahendragarh,84,2250,3150,2750
2025-01-18,Peas Wet,174,Haryana,6,Mahendragarh,84,2750,3250,3100
2025-01-17,Peas Wet,174,Haryana,6,Mahendragarh,84,2500,3500,3200
2025-01-16,Peas Wet,174,Haryana,6,Mahendragarh,84,2750,4250,3500
2025-01-15,Peas Wet,174,Haryana,6,Mahendragarh,84,2350,4100,2750
2025-01-14,Peas Wet,174,Haryana,6,Mahendragarh,84,3000,5000,3500
2025-01-13,Peas Wet,174,Haryana,6,Mahendragarh,84,2500,4500,2500
2025-01-12,Peas Wet,174,Haryana,6,Mahendragarh,84,2750,4000,3250
2025-01-11,Peas Wet,174,Haryana,6,Mahendragarh,84,2500,4000,2750
2025-01-10,Peas Wet,174,Haryana,6,Mahendragarh,84,3000,4000,3100
2025-01-09,Peas Wet,174,Haryana,6,Mahendragarh,84,2500,4250,3250
2025-01-08,Peas Wet,174,Haryana,6,Mahendragarh,84,3000,4000,3250
2025-01-07,Peas Wet,174,Haryana,6,Mahendragarh,84,3000,4500,3250
2025-01-06,Peas Wet,174,Haryana,6,Mahendragarh,84,3000,4500,3750
2025-01-05,Peas Wet,174,Haryana,6,Mahendragarh,84,2500,5000,3500
2025-01-04,Peas Wet,174,Haryana,6,Mahendragarh,84,2500,2750,2650
2025-01-03,Peas Wet,174,Haryana,6,Mahendragarh,84,3000,4500,4000
2025-01-02,Peas Wet,174,Haryana,6,Mahendragarh,84,3500,5000,4000
2025-01-01,Peas Wet,174,Haryana,6,Mahendragarh,84,3000,4500,4000
2024-12-31,Peas Wet,174,Haryana,6,Mahendragarh,84,4100,5000,5000
2024-12-30,Peas Wet,174,Haryana,6,Mahendragarh,84,5000,5000,5000
2024-12-29,Peas Wet,174,Haryana,6,Mahendragarh,84,3500,5250,4500
2024-12-28,Peas Wet,174,Haryana,6,Mahendragarh,84,4500,5250,5250
2024-12-27,Peas Wet,174,Haryana,6,Mahendragarh,84,3000,5000,5000
2024-12-26,Peas Wet,174,Haryana,6,Mahendragarh,84,4250,5300,4750
2024-12-25,Peas Wet,174,Haryana,6,Mahendragarh,84,3500,5500,4750
2024-12-24,Peas Wet,174,Haryana,6,Mahendragarh,84,4500,5500,5000
2024-12-12,Peas Wet,174,Haryana,6,Mahendragarh,84,4500,4600,4600
2024-12-11,Peas Wet,174,Haryana,6,Mahendragarh,84,4250,5000,5000
2024-12-10,Peas Wet,174,Haryana,6,Mahendragarh,84,4000,5000,4600
2024-12-09,Peas Wet,174,Haryana,6,Mahendragarh,84,4500,5000,4900
2024-12-08,Peas Wet,174,Haryana,6,Mahendragarh,84,4750,4750,4750
2024-12-07,Peas Wet,174,Haryana,6,Mahendragarh,84,5000,5000,5000
2024-12-06,Peas Wet,174,Haryana,6,Mahendragarh,84,5000,5000,5000
2024-12-05,Peas Wet,174,Haryana,6,Mahendragarh,84,5000,5000,5000
2024-12-04,Peas Wet,174,Haryana,6,Mahendragarh,84,4750,5500,5500
2024-12-03,Peas Wet,174,Haryana,6,Mahendragarh,84,5000,5500,5500
2024-12-02,Peas Wet,174,Haryana,6,Mahendragarh,84,4500,4500,4500
2024-11-30,Peas Wet,174,Haryana,6,Mahendragarh,84,2500,5000,4000
