date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2023-08-10,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,49800,50000,49900
2023-06-27,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,49000,51000,50000
2022-11-02,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,49600,49800,49700
2022-07-29,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,49300,49500,49400
2022-07-26,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,49300,49500,49400
2022-07-22,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,49200,49400,49300
2022-07-21,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,49100,49300,49200
2022-07-13,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,48400,48600,48500
2022-07-12,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,48500,48700,48600
2022-07-11,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,48400,48600,48500
2022-06-01,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,49000,49200,49100
2022-05-30,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,49700,49900,49800
2022-05-28,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,49800,50000,49900
2022-05-26,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,49900,50100,50000
2022-05-25,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50000,50200,50100
2022-05-24,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50000,50200,50100
2022-04-05,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51000,51200,51100
2022-04-04,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50600,50800,50700
2022-04-02,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50200,50400,50300
2022-04-01,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50200,50400,50300
2022-03-26,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50100,50300,50200
2022-03-25,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50300,50500,50400
2022-03-19,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51100,51300,51200
2022-03-17,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51200,51400,51300
2022-03-16,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51300,51500,51400
2022-03-15,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51400,51600,51500
2022-03-14,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51600,51800,51700
2022-03-09,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51500,51700,51600
2022-03-08,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51700,51900,51800
2022-03-07,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51900,52100,52000
2022-03-02,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51800,52000,51900
2022-02-28,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51800,52000,51900
2022-01-19,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50100,50300,50200
2022-01-18,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50100,50300,50200
2022-01-15,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50400,50600,50500
2022-01-14,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50400,50600,50500
2022-01-13,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50400,50600,50500
2022-01-12,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50300,50500,50400
2022-01-03,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50200,50400,50300
2022-01-01,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50200,50400,50300
2021-12-31,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50200,50400,50300
2021-12-30,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50200,50400,50300
2021-12-28,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50800,51000,50900
2021-12-24,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51700,51900,51800
2021-12-23,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51700,51900,51800
2021-12-22,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50500,50700,50600
2021-12-21,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50500,50700,50600
2021-12-20,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50500,50700,50600
2021-12-18,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50600,50800,50700
2021-12-17,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50200,50400,50300
2021-12-16,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50200,50400,50300
2021-12-15,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50500,50700,50600
2021-12-14,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50800,51000,50900
2021-12-13,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50800,51000,50900
2021-12-10,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51200,51400,51300
2021-12-09,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51200,51400,51300
2021-12-08,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51200,51400,51300
2021-12-07,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50900,51100,51000
2021-12-06,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,50900,51100,51000
2021-12-04,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51500,51700,51600
2021-12-03,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51500,51700,51600
2021-12-02,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51700,51900,51800
2021-12-01,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51700,51900,51800
2021-11-30,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,52000,52200,52100
2021-11-29,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,52500,52700,52600
2021-11-27,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,53100,53300,53200
2021-11-26,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,53100,53300,53200
2021-11-25,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,53000,53200,53100
2021-11-24,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,53000,53200,53100
2021-11-23,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,52700,52900,52800
2021-11-22,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51000,51200,51100
2021-11-19,Pepper - ungarbled,110,Kerala,32,Ernakulam,595,51000,51200,51100
