date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-23,Pineapple,21,Himachal Pradesh,2,Mandi,27,3200,3500,3300
2025-10-22,Pineapple,21,Himachal Pradesh,2,Mandi,27,2000,2500,2500
2025-10-17,Pineapple,21,Himachal Pradesh,2,Mandi,27,3500,4000,3700
2025-10-15,Pineapple,21,Himachal Pradesh,2,Mandi,27,3500,4000,3700
2025-10-13,Pineapple,21,Himachal Pradesh,2,Mandi,27,3200,3500,3300
2025-10-06,Pineapple,21,Himachal Pradesh,2,Mandi,27,3000,3500,3200
2025-09-30,Pineapple,21,Himachal Pradesh,2,Mandi,27,3500,4000,3700
2025-09-29,Pineapple,21,Himachal Pradesh,2,Mandi,27,3500,4000,3700
2025-09-22,Pineapple,21,Himachal Pradesh,2,Mandi,27,2500,3000,3000
2025-09-15,Pineapple,21,Himachal Pradesh,2,Mandi,27,3500,4500,4000
2025-09-12,Pineapple,21,Himachal Pradesh,2,Mandi,27,2500,3000,3000
2024-11-11,Pineapple,21,Himachal Pradesh,2,Mandi,27,6000,6000,6000
2024-10-29,Pineapple,21,Himachal Pradesh,2,Mandi,27,5000,8500,7000
2024-10-28,Pineapple,21,Himachal Pradesh,2,Mandi,27,4500,5000,4700
2024-04-15,Pineapple,21,Himachal Pradesh,2,Mandi,27,3500,4700,4000
2023-11-24,Pineapple,21,Himachal Pradesh,2,Mandi,27,10000,11000,10000
2023-10-23,Pineapple,21,Himachal Pradesh,2,Mandi,27,8500,8500,8500
2023-10-21,Pineapple,21,Himachal Pradesh,2,Mandi,27,5000,5000,5000
2023-10-18,Pineapple,21,Himachal Pradesh,2,Mandi,27,10000,10000,10000
2023-10-16,Pineapple,21,Himachal Pradesh,2,Mandi,27,9000,10000,10000
2023-10-13,Pineapple,21,Himachal Pradesh,2,Mandi,27,9000,9000,9000
2023-10-12,Pineapple,21,Himachal Pradesh,2,Mandi,27,9500,9500,9500
2023-10-10,Pineapple,21,Himachal Pradesh,2,Mandi,27,5000,5000,5000
2023-10-09,Pineapple,21,Himachal Pradesh,2,Mandi,27,7000,9000,8000
2023-10-06,Pineapple,21,Himachal Pradesh,2,Mandi,27,3700,3800,3800
2023-10-05,Pineapple,21,Himachal Pradesh,2,Mandi,27,4500,10000,6000
2023-09-30,Pineapple,21,Himachal Pradesh,2,Mandi,27,10000,10000,10000
2023-09-28,Pineapple,21,Himachal Pradesh,2,Mandi,27,10000,10000,10000
2023-09-25,Pineapple,21,Himachal Pradesh,2,Mandi,27,8000,10000,9000
2023-09-22,Pineapple,21,Himachal Pradesh,2,Mandi,27,3500,5800,5000
2018-06-12,Pineapple,21,Himachal Pradesh,2,Mandi,27,7500,8000,7500
