date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3540,3600,3570
2025-10-29,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3550,3600,3575
2025-10-28,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3550,3610,3580
2025-10-25,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3510,3570,3540
2025-10-24,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3525,3575,3550
2025-10-23,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3550,3610,3580
2025-10-22,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3550,3600,3575
2025-10-21,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3540,3600,3570
2025-10-18,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3550,3610,3580
2025-10-17,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3550,3600,3575
2025-10-16,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3575,3625,3600
2025-10-15,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3500,3550,3525
2025-10-14,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3460,3520,3490
2025-10-13,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3475,3525,3500
2025-10-11,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3460,3520,3490
2025-10-09,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3500,3550,3525
2025-10-08,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3425,3475,3450
2025-10-07,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3410,3470,3440
2025-10-06,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3390,3450,3420
2025-10-04,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3410,3470,3440
2025-10-03,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3440,3500,3470
2025-10-02,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3430,3490,3460
2022-11-30,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3430,3530,3480
2022-11-29,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3500,3550,3525
2022-11-28,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3475,3525,3500
2022-11-26,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3400,3500,3450
2022-11-25,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3390,3450,3420
2022-11-24,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3410,3470,3440
2022-11-23,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3410,3510,3460
2022-11-22,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3425,3475,3450
2022-11-21,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3390,3450,3420
2022-11-19,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3425,3475,3450
2022-11-18,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3410,3450,3430
2022-11-17,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3370,3410,3390
2022-11-16,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3350,3450,3400
2022-11-15,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3340,3420,3380
2022-11-14,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3375,3425,3400
2022-11-12,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3350,3400,3375
2022-11-11,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3425,3475,3450
2022-11-10,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3375,3425,3400
2022-11-09,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3400,3450,3425
2022-11-08,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3430,3470,3450
2022-11-07,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3450,3500,3475
2022-11-05,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3450,3550,3500
2022-11-04,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3420,3500,3460
2022-11-02,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3400,3500,3450
2022-11-01,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3450,3500,3475
2022-10-31,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3425,3475,3450
2022-10-29,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3400,3450,3425
2022-10-28,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3375,3425,3400
2022-10-27,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3430,3470,3450
2022-10-26,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3375,3425,3400
2022-10-25,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3400,3450,3425
2022-10-22,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3450,3500,3475
2022-10-21,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3400,3500,3450
2022-10-20,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3400,3450,3425
2022-10-19,Pointed gourd (Parval),303,Uttar Pradesh,9,Sitapur,154,3350,3400,3375
