date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,979,1041,1009
2025-10-29,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,960,1018,995
2025-10-28,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,908.3333333333334,978.3333333333334,943.3333333333334
2025-10-27,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,885,971.25,928.75
2025-10-26,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,899.1666666666666,970,935
2025-10-25,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,896.6666666666666,965.8333333333334,931.6666666666666
2025-10-24,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,772.5,959.1666666666666,930
2025-10-23,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,934,1013,974
2025-10-22,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,935,982.5,961.25
2025-10-21,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,936,995,967
2025-10-20,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,600,650,620
2025-10-19,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,915,982.5,950
2025-10-18,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,922.5,968.75,945
2025-10-17,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,870.8333333333334,928.3333333333334,899.1666666666666
2025-10-16,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,933,995,963
2025-10-15,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,885,954.1666666666666,915.8333333333334
2025-10-14,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,940,1001,970
2025-10-13,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,922,1004,966
2025-10-12,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,934,1015,972
2025-10-11,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,935,988.75,962.5
2025-10-10,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,950,1015,983.3333333333334
2025-10-09,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,885,945,916.6666666666666
2025-10-08,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,885,950,915.8333333333334
2025-10-07,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,880,941.6666666666666,913.3333333333334
2025-10-06,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,948.75,1002.5,977.5
2025-10-05,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,835,935,876.25
2025-10-04,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,873.3333333333334,973.3333333333334,898.3333333333334
2025-10-03,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,946.6666666666666,1041.6666666666667,986.6666666666666
2025-10-02,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,894,938,917
2025-10-01,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,957.5,1007.5,980
2025-09-30,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,944,1024,982
2025-09-29,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,948,1026,988
2025-09-28,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,952.5,1002.5,978.75
2025-09-27,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,903.3333333333334,984.1666666666666,942.5
2025-09-26,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,920,1145.8333333333333,1032.5
2025-09-25,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,906,961,935
2025-09-24,Potato,24,Uttar Pradesh,9,Shahjahanpur,152,901,961,932
