date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-06-26,Pumpkin,84,Punjab,3,Barnala,54,500,700,600
2025-06-25,Pumpkin,84,Punjab,3,Barnala,54,700,1000,850
2025-06-24,Pumpkin,84,Punjab,3,Barnala,54,800,1000,900
2025-06-21,Pumpkin,84,Punjab,3,Barnala,54,300,500,400
2025-06-20,Pumpkin,84,Punjab,3,Barnala,54,300,500,400
2025-06-19,Pumpkin,84,Punjab,3,Barnala,54,300,500,400
2025-06-13,Pumpkin,84,Punjab,3,Barnala,54,300,500,400
2025-05-22,Pumpkin,84,Punjab,3,Barnala,54,500,700,600
2025-04-21,Pumpkin,84,Punjab,3,Barnala,54,400,600,500
2025-04-15,Pumpkin,84,Punjab,3,Barnala,54,600,800,700
2025-04-14,Pumpkin,84,Punjab,3,Barnala,54,500,700,600
2025-04-02,Pumpkin,84,Punjab,3,Barnala,54,500,700,600
2025-03-15,Pumpkin,84,Punjab,3,Barnala,54,1300,1800,1600
2025-03-14,Pumpkin,84,Punjab,3,Barnala,54,1500,2000,1750
2025-03-13,Pumpkin,84,Punjab,3,Barnala,54,1200,1600,1400
2025-03-11,Pumpkin,84,Punjab,3,Barnala,54,800,1000,900
2025-03-10,Pumpkin,84,Punjab,3,Barnala,54,1200,1600,1400
2025-03-07,Pumpkin,84,Punjab,3,Barnala,54,800,1000,900
2025-03-06,Pumpkin,84,Punjab,3,Barnala,54,1000,1400,1200
2025-03-01,Pumpkin,84,Punjab,3,Barnala,54,1000,1300,1150
2025-02-28,Pumpkin,84,Punjab,3,Barnala,54,1300,1300,1300
2025-02-25,Pumpkin,84,Punjab,3,Barnala,54,800,1200,1000
2025-02-22,Pumpkin,84,Punjab,3,Barnala,54,1000,1200,1100
2025-02-18,Pumpkin,84,Punjab,3,Barnala,54,1000,1500,1250
2025-02-17,Pumpkin,84,Punjab,3,Barnala,54,1000,1500,1250
2025-02-15,Pumpkin,84,Punjab,3,Barnala,54,1000,1500,1250
2025-02-14,Pumpkin,84,Punjab,3,Barnala,54,1000,1200,1100
2025-02-11,Pumpkin,84,Punjab,3,Barnala,54,1800,2000,1900
2025-02-08,Pumpkin,84,Punjab,3,Barnala,54,1000,1800,1400
2025-02-07,Pumpkin,84,Punjab,3,Barnala,54,1200,1600,1400
2025-02-05,Pumpkin,84,Punjab,3,Barnala,54,1300,1500,1400
2025-02-04,Pumpkin,84,Punjab,3,Barnala,54,1500,1500,1500
2025-02-01,Pumpkin,84,Punjab,3,Barnala,54,1300,1500,1400
2025-01-31,Pumpkin,84,Punjab,3,Barnala,54,800,1200,1000
2025-01-30,Pumpkin,84,Punjab,3,Barnala,54,1000,1500,1250
2025-01-29,Pumpkin,84,Punjab,3,Barnala,54,1500,1500,1500
2025-01-24,Pumpkin,84,Punjab,3,Barnala,54,2200,2400,2300
2025-01-23,Pumpkin,84,Punjab,3,Barnala,54,1000,1500,1250
2025-01-22,Pumpkin,84,Punjab,3,Barnala,54,1500,2000,1750
2025-01-15,Pumpkin,84,Punjab,3,Barnala,54,1500,1500,1500
2025-01-14,Pumpkin,84,Punjab,3,Barnala,54,1000,1000,1000
2024-12-26,Pumpkin,84,Punjab,3,Barnala,54,2000,2000,2000
2024-12-12,Pumpkin,84,Punjab,3,Barnala,54,1800,2000,1900
2024-12-11,Pumpkin,84,Punjab,3,Barnala,54,1500,1500,1500
2024-12-10,Pumpkin,84,Punjab,3,Barnala,54,1800,2000,1900
2024-11-30,Pumpkin,84,Punjab,3,Barnala,54,2000,2000,2000
2024-11-29,Pumpkin,84,Punjab,3,Barnala,54,1500,1500,1500
2024-11-28,Pumpkin,84,Punjab,3,Barnala,54,1500,1500,1500
2024-11-13,Pumpkin,84,Punjab,3,Barnala,54,1000,1200,1100
2024-11-11,Pumpkin,84,Punjab,3,Barnala,54,1500,1800,1650
2024-11-08,Pumpkin,84,Punjab,3,Barnala,54,1500,1800,1650
2024-11-07,Pumpkin,84,Punjab,3,Barnala,54,1500,1700,1600
2024-11-06,Pumpkin,84,Punjab,3,Barnala,54,1500,1800,1650
2024-11-04,Pumpkin,84,Punjab,3,Barnala,54,1300,2000,1650
2024-11-02,Pumpkin,84,Punjab,3,Barnala,54,1500,1500,1500
2024-10-18,Pumpkin,84,Punjab,3,Barnala,54,2000,2300,2100
2024-10-10,Pumpkin,84,Punjab,3,Barnala,54,1500,1800,1650
2024-10-08,Pumpkin,84,Punjab,3,Barnala,54,1500,1800,1650
2024-10-05,Pumpkin,84,Punjab,3,Barnala,54,1300,2000,1650
2024-10-04,Pumpkin,84,Punjab,3,Barnala,54,1500,1500,1500
