date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2016-01-18,Red Gram,7,Rajasthan,8,Jhalawar,129,3691,3691,3691
2015-11-27,Red Gram,7,Rajasthan,8,Jhalawar,129,3400,4374,4374
2015-11-23,Red Gram,7,Rajasthan,8,Jhalawar,129,3400,4800,4800
2015-10-27,Red Gram,7,Rajasthan,8,Jhalawar,129,4000,4251,4251
2015-10-03,Red Gram,7,Rajasthan,8,Jhalawar,129,4000,4325,4325
2015-09-15,Red Gram,7,Rajasthan,8,Jhalawar,129,4000,4113,4113
2015-09-14,Red Gram,7,Rajasthan,8,Jhalawar,129,3600,4175,4175
2015-08-20,Red Gram,7,Rajasthan,8,Jhalawar,129,4000,4454,4454
2015-07-24,Red Gram,7,Rajasthan,8,Jhalawar,129,3800,3975,3975
2015-07-16,Red Gram,7,Rajasthan,8,Jhalawar,129,3981,5000,5000
2015-07-06,Red Gram,7,Rajasthan,8,Jhalawar,129,3700,3801,3801
2015-07-03,Red Gram,7,Rajasthan,8,Jhalawar,129,3400,3600,3500
2015-07-02,Red Gram,7,Rajasthan,8,Jhalawar,129,2400,4175,4175
2015-06-30,Red Gram,7,Rajasthan,8,Jhalawar,129,3500,3841,3841
2015-06-26,Red Gram,7,Rajasthan,8,Jhalawar,129,3650,3771,3771
2015-06-25,Red Gram,7,Rajasthan,8,Jhalawar,129,3400,3650,3650
2015-06-24,Red Gram,7,Rajasthan,8,Jhalawar,129,3550,3675,3662.5
2015-06-23,Red Gram,7,Rajasthan,8,Jhalawar,129,3400,3600,3500
2015-06-22,Red Gram,7,Rajasthan,8,Jhalawar,129,3300,3650,3650
2015-06-19,Red Gram,7,Rajasthan,8,Jhalawar,129,3601,3931,3931
2015-06-18,Red Gram,7,Rajasthan,8,Jhalawar,129,3750,3987.5,3937.5
2015-06-17,Red Gram,7,Rajasthan,8,Jhalawar,129,3700,3911,3911
2015-06-13,Red Gram,7,Rajasthan,8,Jhalawar,129,3700,3900,3800
2015-06-12,Red Gram,7,Rajasthan,8,Jhalawar,129,3800,3957.5,3932.5
2015-06-11,Red Gram,7,Rajasthan,8,Jhalawar,129,3875,3920,3907.5
2015-06-10,Red Gram,7,Rajasthan,8,Jhalawar,129,3800,4199,4199
2015-06-09,Red Gram,7,Rajasthan,8,Jhalawar,129,3800,4050,4025
2015-06-08,Red Gram,7,Rajasthan,8,Jhalawar,129,3970,4038,4025.5
2015-06-06,Red Gram,7,Rajasthan,8,Jhalawar,129,3850,4050,4000
2015-06-05,Red Gram,7,Rajasthan,8,Jhalawar,129,3900,4000,3950
2015-06-04,Red Gram,7,Rajasthan,8,Jhalawar,129,3987.5,4125.5,4063
2015-06-03,Red Gram,7,Rajasthan,8,Jhalawar,129,3994.5,4097.5,4072.5
2015-06-02,Red Gram,7,Rajasthan,8,Jhalawar,129,3995.5,4090,4045
2015-06-01,Red Gram,7,Rajasthan,8,Jhalawar,129,3800,4000,3900
2015-05-28,Red Gram,7,Rajasthan,8,Jhalawar,129,3950,4050,4025
2015-05-27,Red Gram,7,Rajasthan,8,Jhalawar,129,3800,3950,3925
2015-05-26,Red Gram,7,Rajasthan,8,Jhalawar,129,3850,4025,4000
2015-05-25,Red Gram,7,Rajasthan,8,Jhalawar,129,4000,4300,4300
2015-05-22,Red Gram,7,Rajasthan,8,Jhalawar,129,4000,4299,4299
2015-05-21,Red Gram,7,Rajasthan,8,Jhalawar,129,3950,4149.5,4124.5
2015-05-20,Red Gram,7,Rajasthan,8,Jhalawar,129,4055,4515,4510
2015-05-19,Red Gram,7,Rajasthan,8,Jhalawar,129,3900,4140,4095
2015-05-18,Red Gram,7,Rajasthan,8,Jhalawar,129,3900,4050,3975
2015-05-16,Red Gram,7,Rajasthan,8,Jhalawar,129,3800,4000,3900
2015-05-15,Red Gram,7,Rajasthan,8,Jhalawar,129,3840,4000,3920
2015-05-14,Red Gram,7,Rajasthan,8,Jhalawar,129,3900,4102.5,4057.5
2015-05-13,Red Gram,7,Rajasthan,8,Jhalawar,129,4000,4225,4225
2015-05-12,Red Gram,7,Rajasthan,8,Jhalawar,129,3950,4175,4112.5
2015-05-11,Red Gram,7,Rajasthan,8,Jhalawar,129,3900,4150,4100
2015-05-09,Red Gram,7,Rajasthan,8,Jhalawar,129,3875,4060.5,3925.5
2015-05-08,Red Gram,7,Rajasthan,8,Jhalawar,129,4150,5000,5000
2015-05-07,Red Gram,7,Rajasthan,8,Jhalawar,129,4100,4250,4225
2015-05-06,Red Gram,7,Rajasthan,8,Jhalawar,129,4050,4300,4250
2015-05-05,Red Gram,7,Rajasthan,8,Jhalawar,129,4000,4275,4225
2015-05-04,Red Gram,7,Rajasthan,8,Jhalawar,129,3900,4174.5,4112
2015-05-02,Red Gram,7,Rajasthan,8,Jhalawar,129,3850,4026,4026
2015-05-01,Red Gram,7,Rajasthan,8,Jhalawar,129,3850,4001,4001
2015-04-29,Red Gram,7,Rajasthan,8,Jhalawar,129,3600,3720,3690
2015-04-28,Red Gram,7,Rajasthan,8,Jhalawar,129,3689,3762.5,3737.5
2015-04-27,Red Gram,7,Rajasthan,8,Jhalawar,129,3550,3700,3625
2015-04-25,Red Gram,7,Rajasthan,8,Jhalawar,129,3500,3600,3550
2015-04-23,Red Gram,7,Rajasthan,8,Jhalawar,129,3400,3550,3537.5
2015-04-22,Red Gram,7,Rajasthan,8,Jhalawar,129,3506,3575,3550
2015-04-21,Red Gram,7,Rajasthan,8,Jhalawar,129,3400,3600,3500
2015-04-20,Red Gram,7,Rajasthan,8,Jhalawar,129,3400,3510,3455
2015-04-18,Red Gram,7,Rajasthan,8,Jhalawar,129,3450.3333333333335,3583.3333333333335,3533.3333333333335
2015-04-17,Red Gram,7,Rajasthan,8,Jhalawar,129,3550,3690,3645
2015-04-16,Red Gram,7,Rajasthan,8,Jhalawar,129,3500,3600,3550
2015-04-15,Red Gram,7,Rajasthan,8,Jhalawar,129,3400,3600,3500
2015-04-14,Red Gram,7,Rajasthan,8,Jhalawar,129,3400,3545.5,3423
2015-04-13,Red Gram,7,Rajasthan,8,Jhalawar,129,3395.5,3588,3486
2015-04-11,Red Gram,7,Rajasthan,8,Jhalawar,129,3175,3504.5,3378
2015-04-10,Red Gram,7,Rajasthan,8,Jhalawar,129,3290,3499.5,3441
2015-04-09,Red Gram,7,Rajasthan,8,Jhalawar,129,3340,3525.5,3437
2015-04-08,Red Gram,7,Rajasthan,8,Jhalawar,129,3200,3475,3337.5
2015-04-07,Red Gram,7,Rajasthan,8,Jhalawar,129,3113,3370,3300
2015-04-06,Red Gram,7,Rajasthan,8,Jhalawar,129,3240,3410,3335
2015-04-04,Red Gram,7,Rajasthan,8,Jhalawar,129,3140.5,3248,3172.5
2015-04-03,Red Gram,7,Rajasthan,8,Jhalawar,129,2925.5,3212,3145.5
2015-04-02,Red Gram,7,Rajasthan,8,Jhalawar,129,3220,3220,3220
2015-04-01,Red Gram,7,Rajasthan,8,Jhalawar,129,3000,3160,3080
2015-03-31,Red Gram,7,Rajasthan,8,Jhalawar,129,3000,3100,3050
2015-03-30,Red Gram,7,Rajasthan,8,Jhalawar,129,3155.5,3180,3174
