date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-09-27,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2000,2000,2000
2025-09-18,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2000,2000,2000
2025-09-12,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2500,2500,2500
2025-09-11,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,3000,3000,3000
2025-09-10,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2000,2000,2000
2025-09-09,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2500,2500,2500
2025-08-29,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1200,1200,1200
2025-08-28,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1000,1000,1000
2025-08-27,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1500,1500
2025-08-14,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1500,1500
2025-08-13,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1500,1500
2025-08-06,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1500,1500
2025-08-05,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2500,2500,2500
2025-08-02,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1500,1500
2025-08-01,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1500,1500
2025-07-24,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2500,2500,2500
2025-07-23,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2000,2000,2000
2025-07-14,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1500,1500
2025-07-09,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1500,1500
2025-06-27,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2000,2000,2000
2025-06-26,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2000,2000,2000
2025-06-20,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2500,2500,2500
2025-06-16,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2500,2500,2500
2025-06-13,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2500,2500,2500
2025-06-10,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1000,1200,1200
2025-06-06,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1500,1500
2025-06-04,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2000,2000,2000
2025-06-02,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1200,1200,1200
2025-05-29,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1200,1200,1200
2025-05-28,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1200,1200,1200
2024-10-25,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2000,2000,2000
2024-10-15,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1000,1600,1300
2024-10-11,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1500,1500
2024-10-08,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1400,1600,1500
2024-10-05,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1800,1700
2024-10-04,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1800,1990,1900
2024-10-02,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1300,1500,1400
2024-10-01,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1400,1600,1500
2024-09-30,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1300,1600,1500
2024-09-29,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1300,1500,1400
2024-09-27,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1400,1600,1500
2024-09-26,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1680,1600
2024-09-25,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1600,1800,1700
2024-09-24,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1600,1800,1700
2024-09-23,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1400,1600,1500
2024-09-22,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1700,1600
2024-09-21,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1770,1600
2024-09-20,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1700,1600
2024-09-19,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1700,1600
2024-09-18,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1700,1600
2024-09-17,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1500,1700,1600
2024-09-16,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,2000,2100,2050
2024-09-13,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1600,1800,1700
2024-09-12,Ridge gourd (Tori),160,Haryana,6,Sirsa,79,1600,1800,1700
