date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2024-12-08,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2000,2200,2100
2024-12-04,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,3400,3600,3500
2024-11-27,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,1500,1700,1600
2024-11-24,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2000,2200,2100
2024-11-23,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2200,2400,2300
2024-11-21,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2100,2500,2300
2024-11-19,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2300,2500,2400
2024-11-17,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2300,2500,2400
2024-11-16,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2100,2500,2300
2024-11-15,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2325,2500,2400
2024-11-12,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2400,2600,2500
2024-11-08,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2500,2700,2600
2024-11-06,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2000,2400,2200
2024-11-05,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2300,2500,2400
2024-11-04,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2100,2500,2300
2024-10-30,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2300,2500,2400
2024-10-28,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,1800,2200,2000
2024-10-27,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2000,2200,2100
2024-10-26,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2300,2500,2400
2024-10-25,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2800,3400,3100
2024-10-22,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2100,2300,2200
2024-10-21,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2300,2500,2400
2024-10-20,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2300,2700,2500
2024-10-19,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2100,2300,2200
2024-10-17,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2000,2200,2100
2024-10-16,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2200,2400,2300
2024-10-14,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2000,2400,2200
2024-10-13,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2300,2500,2400
2024-10-12,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2200,2400,2300
2024-10-11,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2800,3000,2900
2024-10-10,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2900,3300,3100
2024-10-09,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2000,2200,2100
2024-10-08,Ridge gourd (Tori),160,Madhya Pradesh,23,Indore,439,2100,2300,2200
