date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-29,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3000,3500,3250
2025-10-28,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3000,3500,3250
2025-10-27,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2800,3800,3300
2025-10-25,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2800,3800,3300
2025-10-24,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2800,3000,2900
2025-10-23,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2800,3000,2900
2025-10-22,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2800,3800,3300
2025-10-18,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3000,3500,3250
2025-10-16,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3000,3500,3250
2025-10-15,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3000,3500,3250
2025-10-13,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3500,4000,3750
2025-10-11,Round gourd,306,Jammu & Kashmir,1,Jammu,21,4000,4500,4250
2025-10-10,Round gourd,306,Jammu & Kashmir,1,Jammu,21,4000,4500,4250
2025-10-09,Round gourd,306,Jammu & Kashmir,1,Jammu,21,4000,4500,4250
2025-10-08,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2800,3000,2900
2025-10-07,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2600,3000,2800
2025-10-06,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2800,3000,2900
2025-10-04,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2500,3000,2750
2025-10-03,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2000,3000,2500
2025-09-29,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2000,2200,2100
2025-09-27,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2400,2600,2500
2025-09-26,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3000,3200,3100
2025-09-25,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3000,3200,3100
2025-09-24,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3000,3500,3250
2025-09-22,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2800,3000,2900
2025-09-20,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3500,4500,4000
2025-09-19,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3000,3200,3100
2025-09-18,Round gourd,306,Jammu & Kashmir,1,Jammu,21,4000,4500,4250
2025-09-17,Round gourd,306,Jammu & Kashmir,1,Jammu,21,4000,4500,4250
2025-09-13,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3500,4500,4000
2025-09-11,Round gourd,306,Jammu & Kashmir,1,Jammu,21,5000,6000,5500
2025-09-09,Round gourd,306,Jammu & Kashmir,1,Jammu,21,5000,6000,5500
2025-09-08,Round gourd,306,Jammu & Kashmir,1,Jammu,21,5000,6000,5500
2025-09-06,Round gourd,306,Jammu & Kashmir,1,Jammu,21,5000,5500,5250
2025-09-04,Round gourd,306,Jammu & Kashmir,1,Jammu,21,4000,4500,4250
2025-09-03,Round gourd,306,Jammu & Kashmir,1,Jammu,21,4500,5000,4750
2025-09-01,Round gourd,306,Jammu & Kashmir,1,Jammu,21,4500,5000,4750
2025-08-30,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3500,4500,4000
2025-08-29,Round gourd,306,Jammu & Kashmir,1,Jammu,21,4000,4500,4250
2025-08-28,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3500,4000,3750
2025-08-26,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3800,4000,3900
2025-08-25,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3500,4000,3750
2025-08-22,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2800,3000,2900
2025-08-21,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3000,3500,3250
2025-08-20,Round gourd,306,Jammu & Kashmir,1,Jammu,21,3000,3500,3250
2025-08-19,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2500,2700,2600
2025-08-18,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2500,3000,2750
2025-08-14,Round gourd,306,Jammu & Kashmir,1,Jammu,21,1500,2100,1800
2025-08-13,Round gourd,306,Jammu & Kashmir,1,Jammu,21,1800,2000,1900
2025-08-12,Round gourd,306,Jammu & Kashmir,1,Jammu,21,1800,2000,1900
2025-08-11,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2000,2200,2100
2025-08-09,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2000,2200,2100
2025-08-08,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2000,2500,2250
2025-08-07,Round gourd,306,Jammu & Kashmir,1,Jammu,21,1800,2200,2000
2025-08-06,Round gourd,306,Jammu & Kashmir,1,Jammu,21,2500,2700,2600
2025-08-05,Round gourd,306,Jammu & Kashmir,1,Jammu,21,1800,2400,2100
2025-08-04,Round gourd,306,Jammu & Kashmir,1,Jammu,21,1800,2000,1900
