date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Round gourd,306,Punjab,3,Tarn Taran,50,1500,2000,1800
2025-10-29,Round gourd,306,Punjab,3,Tarn Taran,50,2000,2500,2400
2025-10-28,Round gourd,306,Punjab,3,Tarn Taran,50,1750,2250,2150
2025-10-27,Round gourd,306,Punjab,3,Tarn Taran,50,2500,3000,3000
2025-10-26,Round gourd,306,Punjab,3,Tarn Taran,50,1600,1750,1700
2025-10-25,Round gourd,306,Punjab,3,Tarn Taran,50,1466.6666666666667,1800,1733.3333333333333
2025-10-24,Round gourd,306,Punjab,3,Tarn Taran,50,1600,1900,1900
2025-10-23,Round gourd,306,Punjab,3,Tarn Taran,50,900,1150,1050
2025-10-22,Round gourd,306,Punjab,3,Tarn Taran,50,600,700,700
2025-10-21,Round gourd,306,Punjab,3,Tarn Taran,50,500,600,600
2025-10-20,Round gourd,306,Punjab,3,Tarn Taran,50,1400,1800,1600
2025-10-18,Round gourd,306,Punjab,3,Tarn Taran,50,2100,2450,2350
2025-10-17,Round gourd,306,Punjab,3,Tarn Taran,50,1450,1650,1650
2025-10-16,Round gourd,306,Punjab,3,Tarn Taran,50,1466.6666666666667,1766.6666666666667,1700
2025-10-15,Round gourd,306,Punjab,3,Tarn Taran,50,1600,1966.6666666666667,1800
2025-10-14,Round gourd,306,Punjab,3,Tarn Taran,50,1450,1650,1650
2025-10-13,Round gourd,306,Punjab,3,Tarn Taran,50,1366.6666666666667,1733.3333333333333,1666.6666666666667
2025-10-12,Round gourd,306,Punjab,3,Tarn Taran,50,700,800,800
2025-10-11,Round gourd,306,Punjab,3,Tarn Taran,50,600,700,700
2025-10-10,Round gourd,306,Punjab,3,Tarn Taran,50,1750,2100,2000
2025-10-09,Round gourd,306,Punjab,3,Tarn Taran,50,1400,1450,1450
2025-10-08,Round gourd,306,Punjab,3,Tarn Taran,50,1266.6666666666667,1433.3333333333333,1366.6666666666667
2025-10-07,Round gourd,306,Punjab,3,Tarn Taran,50,1400,1666.6666666666667,1600
2025-10-06,Round gourd,306,Punjab,3,Tarn Taran,50,1400,1600,1533.3333333333333
2025-10-05,Round gourd,306,Punjab,3,Tarn Taran,50,1350,1400,1400
2025-10-04,Round gourd,306,Punjab,3,Tarn Taran,50,1750,2100,2000
2025-10-03,Round gourd,306,Punjab,3,Tarn Taran,50,1250,1400,1400
2025-10-02,Round gourd,306,Punjab,3,Tarn Taran,50,800,900,900
2025-10-01,Round gourd,306,Punjab,3,Tarn Taran,50,900,1150,1050
2025-09-30,Round gourd,306,Punjab,3,Tarn Taran,50,1700,1866.6666666666667,1800
2025-09-29,Round gourd,306,Punjab,3,Tarn Taran,50,1200,1500,1400
2025-09-28,Round gourd,306,Punjab,3,Tarn Taran,50,2800,3000,3000
2025-09-27,Round gourd,306,Punjab,3,Tarn Taran,50,1866.6666666666667,2100,2033.3333333333333
2025-09-26,Round gourd,306,Punjab,3,Tarn Taran,50,1750,1900,1900
2025-09-25,Round gourd,306,Punjab,3,Tarn Taran,50,1766.6666666666667,2000,1933.3333333333333
2025-09-24,Round gourd,306,Punjab,3,Tarn Taran,50,2166.6666666666665,2600,2433.3333333333335
2025-09-23,Round gourd,306,Punjab,3,Tarn Taran,50,1433.3333333333333,1733.3333333333333,1666.6666666666667
2025-09-22,Round gourd,306,Punjab,3,Tarn Taran,50,1450,1600,1600
2025-09-21,Round gourd,306,Punjab,3,Tarn Taran,50,700,800,800
2025-09-20,Round gourd,306,Punjab,3,Tarn Taran,50,2000,2450,2300
2025-09-19,Round gourd,306,Punjab,3,Tarn Taran,50,2200,2400,2400
2025-09-18,Round gourd,306,Punjab,3,Tarn Taran,50,1466.6666666666667,1733.3333333333333,1666.6666666666667
2025-09-17,Round gourd,306,Punjab,3,Tarn Taran,50,1500,1650,1650
2025-09-16,Round gourd,306,Punjab,3,Tarn Taran,50,1766.6666666666667,1966.6666666666667,1900
2025-09-15,Round gourd,306,Punjab,3,Tarn Taran,50,2033.3333333333333,2400,2333.3333333333335
2025-09-14,Round gourd,306,Punjab,3,Tarn Taran,50,600,700,700
2025-09-13,Round gourd,306,Punjab,3,Tarn Taran,50,1400,1650,1550
2025-09-12,Round gourd,306,Punjab,3,Tarn Taran,50,1700,2066.6666666666665,2000
2025-09-11,Round gourd,306,Punjab,3,Tarn Taran,50,2250,2750,2600
2025-09-10,Round gourd,306,Punjab,3,Tarn Taran,50,2500,3000,2800
2025-09-08,Round gourd,306,Punjab,3,Tarn Taran,50,1150,1450,1350
2025-09-07,Round gourd,306,Punjab,3,Tarn Taran,50,1600,1850,1750
2025-09-06,Round gourd,306,Punjab,3,Tarn Taran,50,600,700,700
2025-09-05,Round gourd,306,Punjab,3,Tarn Taran,50,1800,1900,1900
2025-09-04,Round gourd,306,Punjab,3,Tarn Taran,50,1900,2000,2000
2025-09-03,Round gourd,306,Punjab,3,Tarn Taran,50,1700,1933.3333333333333,1866.6666666666667
2025-09-02,Round gourd,306,Punjab,3,Tarn Taran,50,1750,1850,1850
2025-09-01,Round gourd,306,Punjab,3,Tarn Taran,50,600,700,700
2025-08-31,Round gourd,306,Punjab,3,Tarn Taran,50,500,600,600
2025-08-30,Round gourd,306,Punjab,3,Tarn Taran,50,800,900,900
2025-08-29,Round gourd,306,Punjab,3,Tarn Taran,50,1400,1500,1500
2025-08-28,Round gourd,306,Punjab,3,Tarn Taran,50,1650,1750,1750
2025-08-27,Round gourd,306,Punjab,3,Tarn Taran,50,1550,1650,1650
