date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Round gourd,306,Rajasthan,8,Jodhpur,113,1000,2000,1500
2025-10-29,Round gourd,306,Rajasthan,8,Jodhpur,113,1000,2500,2000
2025-10-28,Round gourd,306,Rajasthan,8,Jodhpur,113,1500,2500,2000
2025-10-26,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1500
2025-10-25,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1500
2025-10-24,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3000,2000
2025-10-17,Round gourd,306,Rajasthan,8,Jodhpur,113,700,3000,2000
2025-10-16,Round gourd,306,Rajasthan,8,Jodhpur,113,600,3500,2000
2025-10-15,Round gourd,306,Rajasthan,8,Jodhpur,113,1000,2500,2000
2025-10-14,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,2000
2025-10-10,Round gourd,306,Rajasthan,8,Jodhpur,113,500,1600,1000
2025-10-09,Round gourd,306,Rajasthan,8,Jodhpur,113,500,1800,1000
2025-10-08,Round gourd,306,Rajasthan,8,Jodhpur,113,500,1500,1000
2025-10-06,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-10-05,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1500
2025-10-04,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-10-02,Round gourd,306,Rajasthan,8,Jodhpur,113,1000,1800,1500
2025-10-01,Round gourd,306,Rajasthan,8,Jodhpur,113,800,2500,1500
2025-09-30,Round gourd,306,Rajasthan,8,Jodhpur,113,800,1500,1200
2025-09-29,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3000,2000
2025-09-28,Round gourd,306,Rajasthan,8,Jodhpur,113,500,1500,1000
2025-09-27,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1200
2025-09-26,Round gourd,306,Rajasthan,8,Jodhpur,113,700,2000,1500
2025-09-25,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-09-23,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1500
2025-09-22,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1500
2025-09-17,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1500
2025-09-16,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1500
2025-09-15,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1500
2025-09-12,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1500
2025-09-11,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-09-10,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1500
2025-09-09,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1500
2025-09-08,Round gourd,306,Rajasthan,8,Jodhpur,113,1500,2500,2000
2025-09-06,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1500
2025-09-04,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1500
2025-09-03,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-09-02,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1500
2025-09-01,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1500
2025-08-31,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1500
2025-08-29,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-08-28,Round gourd,306,Rajasthan,8,Jodhpur,113,500,1700,1200
2025-08-27,Round gourd,306,Rajasthan,8,Jodhpur,113,500,1500,1000
2025-08-26,Round gourd,306,Rajasthan,8,Jodhpur,113,500,1500,1000
2025-08-25,Round gourd,306,Rajasthan,8,Jodhpur,113,500,1500,1000
2025-08-22,Round gourd,306,Rajasthan,8,Jodhpur,113,500,1500,1000
2025-08-21,Round gourd,306,Rajasthan,8,Jodhpur,113,500,1500,1000
2025-08-20,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1500
2025-08-19,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-08-18,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-08-17,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-08-16,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-08-15,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-08-14,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-08-13,Round gourd,306,Rajasthan,8,Jodhpur,113,500,1800,1000
2025-08-12,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1000
2025-08-11,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,2000
2025-08-10,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2000,1500
2025-08-08,Round gourd,306,Rajasthan,8,Jodhpur,113,700,2500,1500
2025-08-07,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3000,2000
2025-08-06,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3500,2500
2025-08-05,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,2000
2025-08-04,Round gourd,306,Rajasthan,8,Jodhpur,113,1000,3000,2000
2025-08-03,Round gourd,306,Rajasthan,8,Jodhpur,113,1000,2700,2000
2025-08-01,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2800,2000
2025-07-31,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3000,2000
2025-07-30,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1500
2025-07-29,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,1000
2025-07-28,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3200,2500
2025-07-27,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3500,2000
2025-07-26,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3000,2000
2025-07-25,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3000,2000
2025-07-24,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3500,2000
2025-07-23,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3000,2000
2025-07-22,Round gourd,306,Rajasthan,8,Jodhpur,113,1000,3000,2000
2025-07-21,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,2000
2025-07-16,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2200,1800
2025-07-15,Round gourd,306,Rajasthan,8,Jodhpur,113,500,2500,2000
2025-07-14,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3200,2000
2025-07-13,Round gourd,306,Rajasthan,8,Jodhpur,113,500,3000,2000
2025-07-11,Round gourd,306,Rajasthan,8,Jodhpur,113,1000,3500,2000
2025-07-09,Round gourd,306,Rajasthan,8,Jodhpur,113,1000,3000,2000
2025-07-08,Round gourd,306,Rajasthan,8,Jodhpur,113,1000,3000,2000
2025-07-07,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,3400,3000
2025-07-06,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-07-05,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3500,3000
2025-07-04,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3500,3000
2025-07-03,Round gourd,306,Rajasthan,8,Jodhpur,113,2800,3300,3000
2025-07-02,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,3000,2500
2025-07-01,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3000,2700
2025-06-30,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,2900,2700
2025-06-28,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3200,2800
2025-06-27,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3000,2800
2025-06-26,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3000,2700
2025-06-25,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,2700,2300
2025-06-24,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3000,2700
2025-06-23,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,2800,2500
2025-06-22,Round gourd,306,Rajasthan,8,Jodhpur,113,2300,2800,2600
2025-06-21,Round gourd,306,Rajasthan,8,Jodhpur,113,2200,2800,2400
2025-06-20,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,2600,2300
2025-06-19,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,2700,2400
2025-06-18,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,2500,2300
2025-06-17,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,2400,2200
2025-06-16,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,2500,2300
2025-06-14,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,2800,2500
2025-06-13,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,2700,2300
2025-06-12,Round gourd,306,Rajasthan,8,Jodhpur,113,2000,2500,2200
2025-06-10,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,2800,2600
2025-06-09,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3000,2800
2025-06-08,Round gourd,306,Rajasthan,8,Jodhpur,113,2800,3500,3200
2025-06-07,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3300,3000
2025-06-06,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,2800,2600
2025-06-04,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3000,2700
2025-06-03,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3000,2700
2025-06-02,Round gourd,306,Rajasthan,8,Jodhpur,113,2200,2700,2500
2025-06-01,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3000,2700
2025-05-30,Round gourd,306,Rajasthan,8,Jodhpur,113,2500,3000,2700
