date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Safflower,59,Karnataka,29,Dharwad,562,8080,9096,8864
2025-10-28,Safflower,59,Karnataka,29,Dharwad,562,8890,9150,9031
2025-10-27,Safflower,59,Karnataka,29,Dharwad,562,8950,9230,9198
2025-10-25,Safflower,59,Karnataka,29,Dharwad,562,8510,8786,8522
2025-10-18,Safflower,59,Karnataka,29,Dharwad,562,7569,8172,7770
2025-10-16,Safflower,59,Karnataka,29,Dharwad,562,7712,9160,8617
2025-10-14,Safflower,59,Karnataka,29,Dharwad,562,9146,9146,9146
2025-10-13,Safflower,59,Karnataka,29,Dharwad,562,6889,9029,8371
2025-10-11,Safflower,59,Karnataka,29,Dharwad,562,8716,9016,8980
2025-10-09,Safflower,59,Karnataka,29,Dharwad,562,1010,4265,3687
2025-10-08,Safflower,59,Karnataka,29,Dharwad,562,8852,8852,8852
2025-10-04,Safflower,59,Karnataka,29,Dharwad,562,7570,8672,8496
2025-10-03,Safflower,59,Karnataka,29,Dharwad,562,8589,8811,8678
2025-09-29,Safflower,59,Karnataka,29,Dharwad,562,8810,8989,8909
2025-09-27,Safflower,59,Karnataka,29,Dharwad,562,3900,9086,8574
2025-09-26,Safflower,59,Karnataka,29,Dharwad,562,9026,9026,9026
2025-09-25,Safflower,59,Karnataka,29,Dharwad,562,6439,8822,8591
2025-09-24,Safflower,59,Karnataka,29,Dharwad,562,9050,9110,9095
2025-09-23,Safflower,59,Karnataka,29,Dharwad,562,3269,3269,3269
2025-09-22,Safflower,59,Karnataka,29,Dharwad,562,809,9066,7009
2025-09-20,Safflower,59,Karnataka,29,Dharwad,562,8666,8966,8773
2025-09-19,Safflower,59,Karnataka,29,Dharwad,562,8689,8826,8798
2025-09-18,Safflower,59,Karnataka,29,Dharwad,562,8489,9233,9127
2025-09-15,Safflower,59,Karnataka,29,Dharwad,562,7569,9116,8487
2025-09-11,Safflower,59,Karnataka,29,Dharwad,562,7409,8109,7500
2025-09-10,Safflower,59,Karnataka,29,Dharwad,562,2689,8086,5400
2025-09-08,Safflower,59,Karnataka,29,Dharwad,562,9003,9003,9003
2025-09-02,Safflower,59,Karnataka,29,Dharwad,562,8511,9211,8750
2025-08-16,Safflower,59,Karnataka,29,Dharwad,562,8339,9470,8900
2025-06-10,Safflower,59,Karnataka,29,Dharwad,562,7352,7609,7410
2025-05-31,Safflower,59,Karnataka,29,Dharwad,562,7451,7525,7490
2025-05-29,Safflower,59,Karnataka,29,Dharwad,562,7321,7461,7400
2025-05-24,Safflower,59,Karnataka,29,Dharwad,562,7172,7372,7200
2025-05-23,Safflower,59,Karnataka,29,Dharwad,562,7489,7489,7489
2025-05-14,Safflower,59,Karnataka,29,Dharwad,562,7406,7416,7415
2025-05-13,Safflower,59,Karnataka,29,Dharwad,562,6363,7289,6450
2025-05-12,Safflower,59,Karnataka,29,Dharwad,562,7159,7269,7200
2025-04-24,Safflower,59,Karnataka,29,Dharwad,562,5609,6289,5940
2025-04-21,Safflower,59,Karnataka,29,Dharwad,562,6129,6159,6155
2025-04-17,Safflower,59,Karnataka,29,Dharwad,562,5311,5851,5560
2025-04-02,Safflower,59,Karnataka,29,Dharwad,562,5371,5435,5415
2025-02-24,Safflower,59,Karnataka,29,Dharwad,562,5616,5616,5616
