date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-08-21,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,7820,8000,8000
2025-08-19,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,7500,7700,7700
2025-04-22,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,8020,8020,8020
2025-04-09,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,9980,10500,10500
2025-04-07,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,8200,9100,9100
2025-04-04,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,8700,8765,8735
2025-04-01,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,8750,8850,8850
2025-03-27,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,8520,9040,9000
2025-02-07,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,8000,9300,9300
2024-10-18,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10050,10050,10050
2024-10-14,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,9900,9900,9900
2024-09-07,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10350,10500,10460
2024-08-29,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,9505,9630,9630
2024-07-20,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10010,10100,10050
2024-07-12,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10250,10410,10410
2024-07-11,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11040,11040,11040
2024-07-05,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10050,10530,10530
2024-06-21,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10000,10015,10000
2024-06-05,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,7100,7250,7250
2024-06-01,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10300,10500,10500
2024-04-15,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11560,12310,12310
2024-04-08,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11200,12210,12210
2024-04-04,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11490,11520,11520
2024-04-03,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,9000,9500,9500
2024-03-14,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11000,11450,11450
2024-03-13,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11300,11400,11400
2024-03-12,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11020,11420,11420
2024-03-05,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12200,12700,12600
2024-02-15,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12300,13000,13000
2024-02-09,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12657.5,12657.5,12657.5
2024-01-16,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12900,13250,12900
2024-01-08,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13805,13805,13805
2023-11-24,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14772.5,15022.5,14922.5
2023-11-23,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14520,14520,14520
2023-11-08,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13875,15000,14355
2023-11-06,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,15495,15495,15495
2023-11-04,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14205,14905,14605
2023-11-02,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14100,15500,14990
2023-11-01,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14450,15000,14750
2023-10-31,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14000,14310,14180
2023-10-30,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14300,14800,14500
2023-10-27,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,15200,15350,15265
2023-10-26,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14450,14450,14450
2023-10-25,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14000,14500,14300
2023-10-23,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14700,14700,14700
2023-10-21,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14642.5,15142.5,14855
2023-10-20,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,15066.666666666666,15233.333333333334,15150
2023-10-19,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13200,14720,14500
2023-10-18,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14320,14320,14320
2023-10-17,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13800,14490,14300
2023-10-16,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14155,14755,14500
2023-10-12,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13500,13500,13500
2023-10-11,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13812.5,14457.5,14250
2023-10-10,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14100,14910,14650
2023-10-09,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13905,15300,14750
2023-10-06,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14600,15700,14650
2023-10-05,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14500,15175,14900
2023-10-04,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13000,14650,14400
2023-10-03,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11700,11900,11900
2023-09-02,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10400,10720,10720
2023-08-19,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10200,10500,10300
2023-07-03,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,3650,10200,10050
2023-06-27,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,9950,10000,9950
2023-03-21,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,9500,9500,9500
2023-02-14,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11385,13360,12250
2023-02-08,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12400,13052.5,12750
2023-01-30,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,14400,14400,14400
2023-01-12,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10952.5,14007.5,13352.5
2023-01-11,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10950,14405,13500
2023-01-09,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13500,13500,13500
2023-01-07,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11700,11905,11800
2023-01-05,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12100,12695,12300
2023-01-03,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10025,10025,10025
2022-12-30,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10300,10600,10300
2022-12-27,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13000,13000,13000
2022-12-26,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12100,12100,12100
2022-12-23,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11200,13200,13000
2022-12-21,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13060,13060,13060
2022-12-20,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13900,14100,14000
2022-12-19,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12100,12400,12300
2022-12-16,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12627.5,13202.5,12952.5
2022-12-12,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12010,14165,13050
2022-12-09,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,8050,8300,8300
2022-12-08,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12150,12150,12150
2022-12-06,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11200,11700,11600
2022-12-05,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11500,13200,12500
2022-12-02,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11830,13252.5,12135
2022-12-01,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,13000,13000,13000
2022-11-30,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12250,13800,13000
2022-11-29,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11910,13202.5,12750
2022-11-28,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11900,14800,13000
2022-11-26,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10200,10400,10300
2022-11-25,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10775,12200,11875
2022-11-24,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11490,12755,12107.5
2022-11-23,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,11366.666666666666,12233.333333333334,11766.666666666666
2022-11-22,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10800,11300.5,11000
2022-11-18,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10775,12206.666666666666,11736
2022-11-17,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,12627.5,13052.5,13000
2022-11-16,"Sesamum (Sesame, Gingelly, Til)",11,Madhya Pradesh,23,Datia,422,10250,11122.5,10700
