date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-29,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,9000,9760,9200
2025-10-28,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8900,9250,9075
2025-10-17,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8000,9095,9095
2025-10-16,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,9055,9380,9291
2025-10-15,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8850,9505,9196
2025-10-14,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,9000,9780,9100
2025-10-13,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,9000,9100,9050
2025-10-09,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8700,9100,8900
2025-10-08,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8303.333333333334,9735,8960.666666666666
2025-10-07,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,9000,9380,9190
2025-10-06,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,9121.666666666666,9715,9385
2025-10-04,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,9280,9280,9280
2025-10-03,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8850,9347.5,8980
2025-09-30,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,9002.5,9102.5,9052.5
2025-09-29,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8552.5,9505,9428.5
2025-09-26,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,9100,9500,9300
2025-09-25,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8705,9605,9155
2025-09-24,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8726.666666666666,9243.333333333334,9196.333333333334
2025-09-23,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,9033.333333333334,9551.666666666666,9292.333333333334
2025-09-22,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8605,9100,8852
2025-09-20,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8305,9405,9000
2025-09-19,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8652.5,9262.5,9150
2025-09-18,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8950,9005,8977
2025-09-17,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8700,9242.5,8947.5
2025-09-16,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8500,9100,8800
2025-09-15,"Sesamum (Sesame, Gingelly, Til)",11,Maharashtra,27,Yavatmal,510,8800,9500,9150
