date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2024-12-12,Spinach,342,Maharashtra,27,Kolhapur,530,10,12,11
2023-09-14,Spinach,342,Maharashtra,27,Kolhapur,530,2,4,3
2023-03-14,Spinach,342,Maharashtra,27,Kolhapur,530,4,6,5
2023-02-08,Spinach,342,Maharashtra,27,Kolhapur,530,2,6,4
2022-12-24,Spinach,342,Maharashtra,27,Kolhapur,530,5,7,6
2021-06-12,Spinach,342,Maharashtra,27,Kolhapur,530,2,4,3
2021-03-31,Spinach,342,Maharashtra,27,Kolhapur,530,2,5,3
2021-03-12,Spinach,342,Maharashtra,27,Kolhapur,530,1,4,3
2021-03-09,Spinach,342,Maharashtra,27,Kolhapur,530,1,5,4
2021-02-26,Spinach,342,Maharashtra,27,Kolhapur,530,1,3,2
2021-02-23,Spinach,342,Maharashtra,27,Kolhapur,530,1,5,4
2021-02-22,Spinach,342,Maharashtra,27,Kolhapur,530,2,5,4
2021-02-20,Spinach,342,Maharashtra,27,Kolhapur,530,1,5,3
2020-12-22,Spinach,342,Maharashtra,27,Kolhapur,530,2,5,4
2020-12-17,Spinach,342,Maharashtra,27,Kolhapur,530,1,4,3
2020-02-10,Spinach,342,Maharashtra,27,Kolhapur,530,1,3,2
2019-07-16,Spinach,342,Maharashtra,27,Kolhapur,530,3,5,4
2019-03-01,Spinach,342,Maharashtra,27,Kolhapur,530,1,3,2
2019-02-11,Spinach,342,Maharashtra,27,Kolhapur,530,1,4,3
2019-01-07,Spinach,342,Maharashtra,27,Kolhapur,530,1,4,3
2018-11-28,Spinach,342,Maharashtra,27,Kolhapur,530,1,3,2
2018-07-19,Spinach,342,Maharashtra,27,Kolhapur,530,2,4,3
2018-06-28,Spinach,342,Maharashtra,27,Kolhapur,530,2,4,3
2018-06-25,Spinach,342,Maharashtra,27,Kolhapur,530,2,4,3
2018-06-23,Spinach,342,Maharashtra,27,Kolhapur,530,5,7,6
2018-06-22,Spinach,342,Maharashtra,27,Kolhapur,530,5,7,6
2018-06-21,Spinach,342,Maharashtra,27,Kolhapur,530,4,6,5
2018-06-20,Spinach,342,Maharashtra,27,Kolhapur,530,3,5,4
2018-06-09,Spinach,342,Maharashtra,27,Kolhapur,530,3,5,4
2018-06-07,Spinach,342,Maharashtra,27,Kolhapur,530,2,4,3
2018-06-01,Spinach,342,Maharashtra,27,Kolhapur,530,2,4,3
2018-05-29,Spinach,342,Maharashtra,27,Kolhapur,530,2,4,3
2018-05-15,Spinach,342,Maharashtra,27,Kolhapur,530,2,4,3
2018-05-14,Spinach,342,Maharashtra,27,Kolhapur,530,1,3,2
2018-05-09,Spinach,342,Maharashtra,27,Kolhapur,530,1,3,2
2018-05-08,Spinach,342,Maharashtra,27,Kolhapur,530,1,3,2
2018-05-02,Spinach,342,Maharashtra,27,Kolhapur,530,2,4,3
2018-02-06,Spinach,342,Maharashtra,27,Kolhapur,530,2,4,3
2017-12-18,Spinach,342,Maharashtra,27,Kolhapur,530,1,3,2
