date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2024-11-29,Sunflower,14,Karnataka,29,Mysore,577,5210,5620,5415
2024-10-26,Sunflower,14,Karnataka,29,Mysore,577,5310,6100,5705
2024-10-21,Sunflower,14,Karnataka,29,Mysore,577,5859,5859,5859
2024-10-18,Sunflower,14,Karnataka,29,Mysore,577,4379,5010,4592
2024-10-14,Sunflower,14,Karnataka,29,Mysore,577,4561,6031,5416
2024-10-08,Sunflower,14,Karnataka,29,Mysore,577,4389,6300,5328
2024-10-04,Sunflower,14,Karnataka,29,Mysore,577,5231,6200,5621
2024-09-30,Sunflower,14,Karnataka,29,Mysore,577,5910,6110,5977
2024-09-26,Sunflower,14,Karnataka,29,Mysore,577,5371,5771,5517
2024-09-25,Sunflower,14,Karnataka,29,Mysore,577,4209,5810,5378
2024-09-24,Sunflower,14,Karnataka,29,Mysore,577,4679,5909,5374
2024-09-23,Sunflower,14,Karnataka,29,Mysore,577,4969,6899,5885
2024-09-21,Sunflower,14,Karnataka,29,Mysore,577,4969,6421,5786
2024-09-20,Sunflower,14,Karnataka,29,Mysore,577,4171,7410,5785
2024-09-19,Sunflower,14,Karnataka,29,Mysore,577,4699,7529,5450
2024-09-18,Sunflower,14,Karnataka,29,Mysore,577,3881,6310,5005
2024-09-17,Sunflower,14,Karnataka,29,Mysore,577,3559,6310,4651
2024-09-13,Sunflower,14,Karnataka,29,Mysore,577,3559,6410,4701
2024-09-12,Sunflower,14,Karnataka,29,Mysore,577,3889,6616,5183
2024-09-11,Sunflower,14,Karnataka,29,Mysore,577,3529,6829,5076
2024-09-10,Sunflower,14,Karnataka,29,Mysore,577,4109,6609,5428
2024-09-09,Sunflower,14,Karnataka,29,Mysore,577,4069,6351,4852
2024-09-06,Sunflower,14,Karnataka,29,Mysore,577,3916,6271,4691
2024-09-04,Sunflower,14,Karnataka,29,Mysore,577,3789,6069,4801
2024-09-03,Sunflower,14,Karnataka,29,Mysore,577,3939,5935,4972
2024-08-30,Sunflower,14,Karnataka,29,Mysore,577,3779,5610,4516
2024-08-29,Sunflower,14,Karnataka,29,Mysore,577,3416,5641,4441
2024-08-27,Sunflower,14,Karnataka,29,Mysore,577,3309,5673,4467
2024-08-26,Sunflower,14,Karnataka,29,Mysore,577,3589,5551,4450
2024-08-24,Sunflower,14,Karnataka,29,Mysore,577,2727,5779,4294
2024-08-23,Sunflower,14,Karnataka,29,Mysore,577,2969,5779,4200
2024-08-22,Sunflower,14,Karnataka,29,Mysore,577,2666,5561,4064
2024-08-19,Sunflower,14,Karnataka,29,Mysore,577,2309,4309,3360
2024-08-17,Sunflower,14,Karnataka,29,Mysore,577,4371,5371,4916
2024-06-19,Sunflower,14,Karnataka,29,Mysore,577,5731,5731,5731
2024-05-18,Sunflower,14,Karnataka,29,Mysore,577,5100,5100,5100
2024-03-30,Sunflower,14,Karnataka,29,Mysore,577,5250,5250,5250
2024-02-15,Sunflower,14,Karnataka,29,Mysore,577,5800,5800,5800
2023-12-26,Sunflower,14,Karnataka,29,Mysore,577,5800,5800,5800
2023-11-20,Sunflower,14,Karnataka,29,Mysore,577,5100,5100,5100
2023-10-17,Sunflower,14,Karnataka,29,Mysore,577,5100,5121,5111
2023-10-05,Sunflower,14,Karnataka,29,Mysore,577,4937,5091,5014
2023-09-26,Sunflower,14,Karnataka,29,Mysore,577,999,999,999
2023-09-15,Sunflower,14,Karnataka,29,Mysore,577,4779,5079,4906
2023-09-13,Sunflower,14,Karnataka,29,Mysore,577,4579,5191,4836
2023-09-11,Sunflower,14,Karnataka,29,Mysore,577,5021,5120,5053
2023-09-08,Sunflower,14,Karnataka,29,Mysore,577,4864,4964,4914
2023-09-07,Sunflower,14,Karnataka,29,Mysore,577,4844,4844,4844
2023-09-01,Sunflower,14,Karnataka,29,Mysore,577,4469,5060,4983
2023-08-30,Sunflower,14,Karnataka,29,Mysore,577,4800,5069,4928
2023-08-26,Sunflower,14,Karnataka,29,Mysore,577,4850,5120,4995
2023-08-25,Sunflower,14,Karnataka,29,Mysore,577,4740,5110,4996
2023-08-22,Sunflower,14,Karnataka,29,Mysore,577,4910,5120,5013
2023-08-19,Sunflower,14,Karnataka,29,Mysore,577,4869,5069,4989
2023-08-18,Sunflower,14,Karnataka,29,Mysore,577,4849,4989,4924
2023-08-16,Sunflower,14,Karnataka,29,Mysore,577,4729,5121,4810
2023-08-04,Sunflower,14,Karnataka,29,Mysore,577,5321,6121,5756
2023-08-03,Sunflower,14,Karnataka,29,Mysore,577,4489,6030,5284
2023-08-02,Sunflower,14,Karnataka,29,Mysore,577,4881,5229,5105
2023-08-01,Sunflower,14,Karnataka,29,Mysore,577,4609,6101,5318
2023-07-31,Sunflower,14,Karnataka,29,Mysore,577,4849,6069,5234
2023-07-18,Sunflower,14,Karnataka,29,Mysore,577,4669,5689,5027
2023-07-15,Sunflower,14,Karnataka,29,Mysore,577,5021,5021,5021
2023-07-13,Sunflower,14,Karnataka,29,Mysore,577,5551,5921,5736
2023-07-11,Sunflower,14,Karnataka,29,Mysore,577,5337,5337,5337
2023-07-10,Sunflower,14,Karnataka,29,Mysore,577,4736,4736,4736
2023-07-05,Sunflower,14,Karnataka,29,Mysore,577,5246,5246,5246
2023-06-30,Sunflower,14,Karnataka,29,Mysore,577,5119,5119,5119
2023-06-22,Sunflower,14,Karnataka,29,Mysore,577,4889,4889,4889
2023-06-17,Sunflower,14,Karnataka,29,Mysore,577,3866,3866,3866
2023-06-14,Sunflower,14,Karnataka,29,Mysore,577,4810,4810,4810
2023-06-12,Sunflower,14,Karnataka,29,Mysore,577,4636,4636,4636
2023-06-10,Sunflower,14,Karnataka,29,Mysore,577,4558,5220,4889
2023-04-24,Sunflower,14,Karnataka,29,Mysore,577,3826,3826,3826
2023-04-15,Sunflower,14,Karnataka,29,Mysore,577,5721,5721,5721
2023-03-06,Sunflower,14,Karnataka,29,Mysore,577,5500,5500,5500
2023-02-25,Sunflower,14,Karnataka,29,Mysore,577,4859,4859,4859
2023-01-31,Sunflower,14,Karnataka,29,Mysore,577,5326,5326,5326
2022-12-23,Sunflower,14,Karnataka,29,Mysore,577,5450,5450,5450
2022-11-29,Sunflower,14,Karnataka,29,Mysore,577,3009,6020,4337
2022-11-25,Sunflower,14,Karnataka,29,Mysore,577,5390,5390,5390
2022-11-02,Sunflower,14,Karnataka,29,Mysore,577,6071,7110,6697
2022-10-27,Sunflower,14,Karnataka,29,Mysore,577,5700,5700,5700
2022-10-20,Sunflower,14,Karnataka,29,Mysore,577,3469,5910,4827
2022-10-19,Sunflower,14,Karnataka,29,Mysore,577,4770,5870,5425
2022-10-18,Sunflower,14,Karnataka,29,Mysore,577,5872,5872,5872
2022-10-17,Sunflower,14,Karnataka,29,Mysore,577,5101,5101,5101
2022-10-14,Sunflower,14,Karnataka,29,Mysore,577,5089,5089,5089
2022-10-08,Sunflower,14,Karnataka,29,Mysore,577,5471,5660,5566
2022-10-07,Sunflower,14,Karnataka,29,Mysore,577,5110,5269,5190
2022-10-03,Sunflower,14,Karnataka,29,Mysore,577,4750,4750,4750
2022-10-01,Sunflower,14,Karnataka,29,Mysore,577,5661,5661,5661
2022-09-30,Sunflower,14,Karnataka,29,Mysore,577,4316,5516,4863
2022-09-29,Sunflower,14,Karnataka,29,Mysore,577,3464,5629,4484
2022-09-28,Sunflower,14,Karnataka,29,Mysore,577,2600,6419,4752
2022-09-27,Sunflower,14,Karnataka,29,Mysore,577,4949,5140,5074
2022-09-26,Sunflower,14,Karnataka,29,Mysore,577,4930,5810,5284
2022-09-22,Sunflower,14,Karnataka,29,Mysore,577,3001,6616,5315
2022-09-19,Sunflower,14,Karnataka,29,Mysore,577,1509,6351,5106
2022-09-17,Sunflower,14,Karnataka,29,Mysore,577,4449,5281,4855
2022-09-16,Sunflower,14,Karnataka,29,Mysore,577,4709,6014,5282
2022-09-15,Sunflower,14,Karnataka,29,Mysore,577,4681,5509,5119
2022-09-14,Sunflower,14,Karnataka,29,Mysore,577,4140,6229,5366
2022-09-13,Sunflower,14,Karnataka,29,Mysore,577,4169,5889,5177
2022-09-12,Sunflower,14,Karnataka,29,Mysore,577,3609,5899,4954
2022-09-10,Sunflower,14,Karnataka,29,Mysore,577,4180,5889,5385
2022-09-09,Sunflower,14,Karnataka,29,Mysore,577,1809,6509,5236
2022-09-08,Sunflower,14,Karnataka,29,Mysore,577,2900,6229,5403
2022-09-07,Sunflower,14,Karnataka,29,Mysore,577,2666,6666,5485
2022-09-06,Sunflower,14,Karnataka,29,Mysore,577,3189,6529,5194
2022-09-05,Sunflower,14,Karnataka,29,Mysore,577,4371,6161,5583
2022-09-03,Sunflower,14,Karnataka,29,Mysore,577,3666,6629,5819
2022-09-02,Sunflower,14,Karnataka,29,Mysore,577,4369,6706,5629
2022-08-30,Sunflower,14,Karnataka,29,Mysore,577,1809,6559,5528
2022-08-29,Sunflower,14,Karnataka,29,Mysore,577,3709,6689,5724
2022-08-27,Sunflower,14,Karnataka,29,Mysore,577,4509,6661,6112
2022-08-26,Sunflower,14,Karnataka,29,Mysore,577,3479,6909,5887
2022-08-25,Sunflower,14,Karnataka,29,Mysore,577,3707,6741,5940
2022-08-24,Sunflower,14,Karnataka,29,Mysore,577,3309,6679,5722
2022-08-23,Sunflower,14,Karnataka,29,Mysore,577,2501,7240,5733
2022-08-22,Sunflower,14,Karnataka,29,Mysore,577,3500,6929,5801
2022-08-20,Sunflower,14,Karnataka,29,Mysore,577,3219,6769,6002
2022-08-19,Sunflower,14,Karnataka,29,Mysore,577,3339,6701,5782
2022-08-18,Sunflower,14,Karnataka,29,Mysore,577,3409,7249,5878
2022-08-17,Sunflower,14,Karnataka,29,Mysore,577,3489,7371,6124
2022-08-16,Sunflower,14,Karnataka,29,Mysore,577,4009,7539,6295
2022-08-13,Sunflower,14,Karnataka,29,Mysore,577,5671,7389,6800
2022-08-12,Sunflower,14,Karnataka,29,Mysore,577,5829,7352,6920
2022-08-11,Sunflower,14,Karnataka,29,Mysore,577,5089,7319,6582
2022-08-10,Sunflower,14,Karnataka,29,Mysore,577,5331,7241,6689
2022-08-08,Sunflower,14,Karnataka,29,Mysore,577,5269,7141,6418
2022-08-06,Sunflower,14,Karnataka,29,Mysore,577,6489,7199,6824
2022-08-05,Sunflower,14,Karnataka,29,Mysore,577,6489,7109,6856
2022-08-04,Sunflower,14,Karnataka,29,Mysore,577,5666,7121,6823
2022-08-03,Sunflower,14,Karnataka,29,Mysore,577,5809,7049,6823
2022-08-02,Sunflower,14,Karnataka,29,Mysore,577,6481,7031,6818
2022-08-01,Sunflower,14,Karnataka,29,Mysore,577,6549,6839,6758
2022-07-30,Sunflower,14,Karnataka,29,Mysore,577,6446,6471,6463
2022-07-29,Sunflower,14,Karnataka,29,Mysore,577,6171,6729,6492
2022-07-28,Sunflower,14,Karnataka,29,Mysore,577,6446,6709,6547
2022-07-27,Sunflower,14,Karnataka,29,Mysore,577,6809,7459,7134
2022-07-22,Sunflower,14,Karnataka,29,Mysore,577,5008,5008,5008
2022-07-06,Sunflower,14,Karnataka,29,Mysore,577,4505,4836,4671
2022-06-29,Sunflower,14,Karnataka,29,Mysore,577,5258,5258,5258
2022-06-20,Sunflower,14,Karnataka,29,Mysore,577,6741,6741,6741
2022-04-25,Sunflower,14,Karnataka,29,Mysore,577,8036,8036,8036
2022-04-16,Sunflower,14,Karnataka,29,Mysore,577,7605,7605,7605
2022-03-29,Sunflower,14,Karnataka,29,Mysore,577,5019,6877,6075
2022-03-23,Sunflower,14,Karnataka,29,Mysore,577,7201,7201,7201
2022-03-18,Sunflower,14,Karnataka,29,Mysore,577,6500,7400,6950
2022-01-13,Sunflower,14,Karnataka,29,Mysore,577,5650,5650,5650
2021-12-22,Sunflower,14,Karnataka,29,Mysore,577,4136,4136,4136
2021-12-21,Sunflower,14,Karnataka,29,Mysore,577,5216,5216,5216
2021-12-16,Sunflower,14,Karnataka,29,Mysore,577,3777,3777,3777
2021-12-06,Sunflower,14,Karnataka,29,Mysore,577,2100,3600,2633
2021-12-03,Sunflower,14,Karnataka,29,Mysore,577,3449,3449,3449
2021-12-02,Sunflower,14,Karnataka,29,Mysore,577,1371,1371,1371
2021-12-01,Sunflower,14,Karnataka,29,Mysore,577,1366,2650,2008
2021-11-26,Sunflower,14,Karnataka,29,Mysore,577,4930,5671,5248
2021-11-12,Sunflower,14,Karnataka,29,Mysore,577,2886,2886,2886
2021-11-10,Sunflower,14,Karnataka,29,Mysore,577,4916,4916,4916
2021-10-19,Sunflower,14,Karnataka,29,Mysore,577,5286,5286,5286
2021-10-18,Sunflower,14,Karnataka,29,Mysore,577,3666,4566,4315
2021-10-12,Sunflower,14,Karnataka,29,Mysore,577,6100,6100,6100
2021-10-07,Sunflower,14,Karnataka,29,Mysore,577,5789,6070,5920
2021-10-01,Sunflower,14,Karnataka,29,Mysore,577,5670,6110,5900
2021-09-30,Sunflower,14,Karnataka,29,Mysore,577,5369,5909,5676
2021-09-29,Sunflower,14,Karnataka,29,Mysore,577,5161,5816,5525
2021-09-28,Sunflower,14,Karnataka,29,Mysore,577,4800,5731,5432
2021-09-27,Sunflower,14,Karnataka,29,Mysore,577,5409,5669,5529
2021-09-25,Sunflower,14,Karnataka,29,Mysore,577,4969,5810,5394
2021-09-24,Sunflower,14,Karnataka,29,Mysore,577,5010,5271,5141
2021-09-23,Sunflower,14,Karnataka,29,Mysore,577,4221,5639,5243
2021-09-22,Sunflower,14,Karnataka,29,Mysore,577,4171,5650,4885
2021-09-21,Sunflower,14,Karnataka,29,Mysore,577,3710,5660,5245
2021-09-20,Sunflower,14,Karnataka,29,Mysore,577,4209,5641,5325
2021-09-18,Sunflower,14,Karnataka,29,Mysore,577,4580,5600,5424
2021-09-17,Sunflower,14,Karnataka,29,Mysore,577,3041,5760,5432
2021-09-16,Sunflower,14,Karnataka,29,Mysore,577,3336,5609,4948
2021-09-15,Sunflower,14,Karnataka,29,Mysore,577,5331,5481,5413
2021-09-14,Sunflower,14,Karnataka,29,Mysore,577,4689,5829,5486
2021-09-13,Sunflower,14,Karnataka,29,Mysore,577,5300,5800,5500
2021-09-11,Sunflower,14,Karnataka,29,Mysore,577,4900,5810,5437
2021-09-09,Sunflower,14,Karnataka,29,Mysore,577,4689,5589,5374
