date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2017-02-11,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,640,700,666
2016-12-10,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,480,550,500
2016-12-06,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,700,900,800
2016-11-03,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,650,700,666
2016-10-22,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,850,806
2016-10-14,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,850,806
2016-09-10,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,780,900,800
2016-09-03,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,850,806
2016-08-25,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,780,850,806
2016-08-24,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,780,850,806
2016-08-22,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,780,850,806
2016-08-18,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,850,806
2016-08-17,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,850,806
2016-08-15,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,550,650,600
2016-08-03,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,780,850,806
2016-07-18,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1000,1100,1086
2016-07-15,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,850,833
2016-06-21,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1300,1600,1400
2016-06-18,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1500,1700,1600
2016-06-10,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1100,1200,1194
2016-06-04,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1900,2100,2000
2016-06-02,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1150,1250,1200
2016-05-28,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1100,1300,1200
2016-05-26,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1100,1300,1200
2016-05-25,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1100,1300,1200
2016-05-20,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1100,1300,1129
2016-05-19,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1100,1300,1200
2016-05-08,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1300,1400,1351
2016-05-07,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1300,1400,1351
2016-05-05,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,850,800
2016-05-03,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,850,806
2016-05-02,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-05-01,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-29,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,700,800,750
2016-04-28,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,700,800,750
2016-04-27,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,700,800,750
2016-04-25,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,700,800,750
2016-04-24,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,850,800
2016-04-23,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,700,800,750
2016-04-22,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-21,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-19,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-17,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-16,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-15,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-14,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-12,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-11,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-10,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-09,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-08,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-07,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-06,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-05,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-04,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-03,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-02,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-04-01,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-30,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,850,800
2016-03-29,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,850,800
2016-03-27,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-26,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-25,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-24,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-23,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-22,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-21,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-20,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-19,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-18,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-17,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-16,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-15,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,8000,9000,8500
2016-03-14,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-13,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-12,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-11,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-10,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-09,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,8000,9000,8500
2016-03-07,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-06,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-05,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,850,800
2016-03-04,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-03,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-02,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-03-01,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-02-29,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-02-28,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-02-27,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,900,800
2016-02-24,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,850,1000,900
2016-02-22,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,850,1000,900
2016-02-21,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,850,1000,900
2016-02-20,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,850,1000,900
2016-02-18,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,850,1000,900
2016-02-14,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,900,1000,950
2016-02-13,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,900,1000,950
2016-02-12,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2016-02-09,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,850,1000,900
2016-02-08,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,850,1000,900
2016-02-07,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,900,1000,950
2016-01-31,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,900,800
2016-01-30,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,900,800
2016-01-29,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,900,1000,950
2016-01-26,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,900,9500,9300
2016-01-24,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,930,1000,968
2016-01-23,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,930,1000,968
2016-01-20,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,930,1000,968
2016-01-18,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,750,900,800
2016-01-13,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,900,1000,919
2016-01-12,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,900,1000,967
2016-01-11,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,900,1000,950
2016-01-01,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,800,900,850
2015-12-23,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1450,1550,1500
2015-12-14,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,675,718,700
2015-12-12,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,900,1000,950
2015-12-09,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,1000,1100,1021
2015-12-03,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,950,1050,1000
2015-12-02,Tomato,78,Andhra Pradesh,28,Visakhapatnam,544,830,900,862.5
