date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Tomato,78,Haryana,6,Panipat,75,2000,3000,2500
2025-10-29,Tomato,78,Haryana,6,Panipat,75,1666.6666666666667,2833.3333333333335,2250
2025-10-28,Tomato,78,Haryana,6,Panipat,75,1750,3500,2625
2025-10-27,Tomato,78,Haryana,6,Panipat,75,1750,3500,2625
2025-10-26,Tomato,78,Haryana,6,Panipat,75,2000,3000,2500
2025-10-25,Tomato,78,Haryana,6,Panipat,75,2000,2800,2400
2025-10-24,Tomato,78,Haryana,6,Panipat,75,1850,3250,2650
2025-10-23,Tomato,78,Haryana,6,Panipat,75,2700,3000,2850
2025-10-22,Tomato,78,Haryana,6,Panipat,75,2500,3500,3000
2025-10-21,Tomato,78,Haryana,6,Panipat,75,2500,2600,2500
2025-10-20,Tomato,78,Haryana,6,Panipat,75,2250,2750,2500
2025-10-19,Tomato,78,Haryana,6,Panipat,75,2400,3000,2800
2025-10-18,Tomato,78,Haryana,6,Panipat,75,1750,3500,2625
2025-10-17,Tomato,78,Haryana,6,Panipat,75,1750,3000,2375
2025-10-16,Tomato,78,Haryana,6,Panipat,75,1666.6666666666667,2666.6666666666665,2166.6666666666665
2025-10-15,Tomato,78,Haryana,6,Panipat,75,2250,2850,2550
2025-10-14,Tomato,78,Haryana,6,Panipat,75,1750,2300,2025
2025-10-13,Tomato,78,Haryana,6,Panipat,75,1750,2750,2250
2025-10-12,Tomato,78,Haryana,6,Panipat,75,2500,3000,2750
2025-10-11,Tomato,78,Haryana,6,Panipat,75,1950,3000,2450
2025-10-10,Tomato,78,Haryana,6,Panipat,75,2500,2600,2550
2025-10-09,Tomato,78,Haryana,6,Panipat,75,2500,3000,2750
2025-10-08,Tomato,78,Haryana,6,Panipat,75,1750,3250,2500
2025-10-07,Tomato,78,Haryana,6,Panipat,75,1750,3050,2400
2025-10-06,Tomato,78,Haryana,6,Panipat,75,1750,2100,1925
2025-10-05,Tomato,78,Haryana,6,Panipat,75,2000,2500,2250
2025-10-04,Tomato,78,Haryana,6,Panipat,75,2000,2750,2375
2025-10-03,Tomato,78,Haryana,6,Panipat,75,1500,2500,2000
2025-10-02,Tomato,78,Haryana,6,Panipat,75,1500,2100,1800
2025-10-01,Tomato,78,Haryana,6,Panipat,75,1500,2450,1975
2025-09-30,Tomato,78,Haryana,6,Panipat,75,1500,2300,1900
2025-09-29,Tomato,78,Haryana,6,Panipat,75,1500,2200,1850
2025-09-28,Tomato,78,Haryana,6,Panipat,75,1500,2350,1925
2025-09-27,Tomato,78,Haryana,6,Panipat,75,1500,2350,1925
2025-09-26,Tomato,78,Haryana,6,Panipat,75,1500,2250,1875
2025-09-25,Tomato,78,Haryana,6,Panipat,75,2000,2200,2100
2025-09-24,Tomato,78,Haryana,6,Panipat,75,1500,2600,2050
2025-09-23,Tomato,78,Haryana,6,Panipat,75,1500,2300,1900
2025-09-22,Tomato,78,Haryana,6,Panipat,75,1800,2000,1900
2025-09-21,Tomato,78,Haryana,6,Panipat,75,2000,2000,2000
2025-09-20,Tomato,78,Haryana,6,Panipat,75,2000,2100,2050
2025-09-19,Tomato,78,Haryana,6,Panipat,75,1500,2350,1925
2025-09-18,Tomato,78,Haryana,6,Panipat,75,1600,2250,1900
2025-09-17,Tomato,78,Haryana,6,Panipat,75,1100,2500,1850
2025-09-16,Tomato,78,Haryana,6,Panipat,75,1750,2750,2250
2025-09-15,Tomato,78,Haryana,6,Panipat,75,2500,3000,2750
2025-09-14,Tomato,78,Haryana,6,Panipat,75,2333.3333333333335,3166.6666666666665,2750
2025-09-13,Tomato,78,Haryana,6,Panipat,75,2500,3600,3050
2025-09-12,Tomato,78,Haryana,6,Panipat,75,2250,3500,2875
2025-09-11,Tomato,78,Haryana,6,Panipat,75,2166.6666666666665,2666.6666666666665,2416.6666666666665
2025-09-10,Tomato,78,Haryana,6,Panipat,75,2066.6666666666665,3000,2516.6666666666665
2025-09-09,Tomato,78,Haryana,6,Panipat,75,2250,3000,2625
2025-09-08,Tomato,78,Haryana,6,Panipat,75,2233.3333333333335,3066.6666666666665,2650
2025-09-07,Tomato,78,Haryana,6,Panipat,75,2500,3200,2850
2025-09-06,Tomato,78,Haryana,6,Panipat,75,1950,3750,2900
2025-09-05,Tomato,78,Haryana,6,Panipat,75,2333.3333333333335,2900,2600
2025-09-04,Tomato,78,Haryana,6,Panipat,75,2266.6666666666665,3500,2916.6666666666665
2025-09-03,Tomato,78,Haryana,6,Panipat,75,2500,3000,2750
2025-09-02,Tomato,78,Haryana,6,Panipat,75,2266.6666666666665,3500,2916.6666666666665
2025-09-01,Tomato,78,Haryana,6,Panipat,75,2500,3333.3333333333335,2916.6666666666665
2025-08-31,Tomato,78,Haryana,6,Panipat,75,3000,3250,3125
2025-08-30,Tomato,78,Haryana,6,Panipat,75,2500,3000,2750
2025-08-29,Tomato,78,Haryana,6,Panipat,75,2500,3600,3083.3333333333335
2025-08-28,Tomato,78,Haryana,6,Panipat,75,2500,3333.3333333333335,2916.6666666666665
2025-08-27,Tomato,78,Haryana,6,Panipat,75,2666.6666666666665,3200,2933.3333333333335
2025-08-26,Tomato,78,Haryana,6,Panipat,75,2666.6666666666665,3233.3333333333335,2950
2025-08-25,Tomato,78,Haryana,6,Panipat,75,2666.6666666666665,3066.6666666666665,2866.6666666666665
2025-08-24,Tomato,78,Haryana,6,Panipat,75,2400,3166.6666666666665,2766.6666666666665
2025-08-23,Tomato,78,Haryana,6,Panipat,75,2333.3333333333335,3500,2916.6666666666665
2025-08-22,Tomato,78,Haryana,6,Panipat,75,2500,3533.3333333333335,3000
2025-08-21,Tomato,78,Haryana,6,Panipat,75,2166.6666666666665,3666.6666666666665,2916.6666666666665
2025-08-20,Tomato,78,Haryana,6,Panipat,75,2633.3333333333335,3466.6666666666665,3050
2025-08-19,Tomato,78,Haryana,6,Panipat,75,2633.3333333333335,4133.333333333333,3383.3333333333335
2025-08-18,Tomato,78,Haryana,6,Panipat,75,2333.3333333333335,3900,3116.6666666666665
2025-08-17,Tomato,78,Haryana,6,Panipat,75,2250,3250,2750
2025-08-16,Tomato,78,Haryana,6,Panipat,75,2833.3333333333335,3566.6666666666665,3200
2025-08-15,Tomato,78,Haryana,6,Panipat,75,2666.6666666666665,3500,3083.3333333333335
2025-08-14,Tomato,78,Haryana,6,Panipat,75,2766.6666666666665,3833.3333333333335,3300
2025-08-13,Tomato,78,Haryana,6,Panipat,75,2666.6666666666665,3500,3083.3333333333335
2025-08-12,Tomato,78,Haryana,6,Panipat,75,3166.6666666666665,3900,3533.3333333333335
2025-08-11,Tomato,78,Haryana,6,Panipat,75,2833.3333333333335,3666.6666666666665,3250
2025-08-10,Tomato,78,Haryana,6,Panipat,75,2566.6666666666665,3500,3066.6666666666665
2025-08-09,Tomato,78,Haryana,6,Panipat,75,2250,3500,2875
2025-08-08,Tomato,78,Haryana,6,Panipat,75,2250,3500,2875
2025-08-07,Tomato,78,Haryana,6,Panipat,75,2333.3333333333335,3333.3333333333335,2833.3333333333335
2025-08-06,Tomato,78,Haryana,6,Panipat,75,2000,3250,2625
2025-08-05,Tomato,78,Haryana,6,Panipat,75,2333.3333333333335,3266.6666666666665,2800
2025-08-04,Tomato,78,Haryana,6,Panipat,75,2333.3333333333335,3166.6666666666665,2750
2025-08-03,Tomato,78,Haryana,6,Panipat,75,2000,3100,2550
2025-08-02,Tomato,78,Haryana,6,Panipat,75,1750,3250,2500
2025-08-01,Tomato,78,Haryana,6,Panipat,75,2000,3250,2625
2025-07-30,Tomato,78,Haryana,6,Panipat,75,2500,3333.3333333333335,2916.6666666666665
2025-07-29,Tomato,78,Haryana,6,Panipat,75,2166.6666666666665,3000,2583.3333333333335
2025-07-28,Tomato,78,Haryana,6,Panipat,75,2066.6666666666665,2666.6666666666665,2383.3333333333335
2025-07-27,Tomato,78,Haryana,6,Panipat,75,1950,2700,2325
2025-07-25,Tomato,78,Haryana,6,Panipat,75,1833.3333333333333,2833.3333333333335,2333.3333333333335
2025-07-24,Tomato,78,Haryana,6,Panipat,75,1750,2500,2125
2025-07-23,Tomato,78,Haryana,6,Panipat,75,1750,2600,2175
2025-07-22,Tomato,78,Haryana,6,Panipat,75,1833.3333333333333,2466.6666666666665,2150
2025-07-21,Tomato,78,Haryana,6,Panipat,75,1833.3333333333333,2466.6666666666665,2150
2025-07-20,Tomato,78,Haryana,6,Panipat,75,1750,2250,2000
2025-07-19,Tomato,78,Haryana,6,Panipat,75,1833.3333333333333,2666.6666666666665,2250
2025-07-18,Tomato,78,Haryana,6,Panipat,75,2000,2750,2375
2025-07-17,Tomato,78,Haryana,6,Panipat,75,1766.6666666666667,2466.6666666666665,2116.6666666666665
2025-07-16,Tomato,78,Haryana,6,Panipat,75,2000,2833.3333333333335,2416.6666666666665
2025-07-15,Tomato,78,Haryana,6,Panipat,75,1833.3333333333333,2533.3333333333335,2183.3333333333335
2025-07-14,Tomato,78,Haryana,6,Panipat,75,1933.3333333333333,2633.3333333333335,2283.3333333333335
2025-07-13,Tomato,78,Haryana,6,Panipat,75,2333.3333333333335,2733.3333333333335,2533.3333333333335
2025-07-12,Tomato,78,Haryana,6,Panipat,75,2000,2500,2250
2025-07-11,Tomato,78,Haryana,6,Panipat,75,1500,2000,1750
2025-07-10,Tomato,78,Haryana,6,Panipat,75,1933.3333333333333,2633.3333333333335,2283.3333333333335
2025-07-09,Tomato,78,Haryana,6,Panipat,75,2000,2500,2250
2025-07-08,Tomato,78,Haryana,6,Panipat,75,1750,2750,2250
2025-07-07,Tomato,78,Haryana,6,Panipat,75,1450,2450,1950
2025-07-06,Tomato,78,Haryana,6,Panipat,75,1500,2500,2000
2025-07-05,Tomato,78,Haryana,6,Panipat,75,2000,2333.3333333333335,2166.6666666666665
2025-07-04,Tomato,78,Haryana,6,Panipat,75,2000,3250,2625
2025-07-03,Tomato,78,Haryana,6,Panipat,75,2000,3000,2500
2025-07-02,Tomato,78,Haryana,6,Panipat,75,2000,2333.3333333333335,2166.6666666666665
2025-07-01,Tomato,78,Haryana,6,Panipat,75,1933.3333333333333,2600,2266.6666666666665
2025-06-30,Tomato,78,Haryana,6,Panipat,75,1666.6666666666667,2666.6666666666665,2166.6666666666665
2025-06-29,Tomato,78,Haryana,6,Panipat,75,2500,3000,2750
2025-06-28,Tomato,78,Haryana,6,Panipat,75,2500,3000,2750
