date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2030,2130,2080
2025-10-29,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2085,2185,2135
2025-10-28,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2090,2160,2125
2025-10-27,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2070,2145,2110
2025-10-26,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2030,2130,2080
2025-10-25,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2060,2160,2110
2025-10-24,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2055,2150,2105
2025-10-23,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2060,2160,2110
2025-10-22,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2065,2665,2115
2025-10-21,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2050,2150,2100
2025-10-19,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2130,2230,2180
2025-10-18,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2110,2210,2160
2025-10-17,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2100,2200,2150
2025-10-16,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2085,2185,2135
2025-10-15,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2090,2190,2140
2025-10-14,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2100,2200,2150
2025-10-13,Tomato,78,Uttar Pradesh,9,Bara Banki,176,1960,2060,2010
2025-10-11,Tomato,78,Uttar Pradesh,9,Bara Banki,176,1975,2075,2025
2025-10-10,Tomato,78,Uttar Pradesh,9,Bara Banki,176,1960,2060,2010
2025-10-09,Tomato,78,Uttar Pradesh,9,Bara Banki,176,1985,2085,2035
2025-10-08,Tomato,78,Uttar Pradesh,9,Bara Banki,176,1985,2090,2040
2025-10-07,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2010,2110,2060
2025-10-06,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2025,2125,2075
2025-10-05,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2030,2130,2080
2025-10-04,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2030,2130,2080
2025-10-03,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2060,2160,2095
2025-10-02,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2100,2190,2140
2025-10-01,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2100,2200,2150
2025-09-30,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2110,2210,2160
2025-09-29,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2090,2190,2140
2025-09-28,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2100,2200,2150
2025-09-27,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2230,2330,2280
2025-09-26,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2215,2305,2265
2025-09-25,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2200,2300,2250
2025-09-24,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2235,2335,2285
2025-09-23,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2250,2350,2300
2025-09-22,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2325,2425,2375
2025-09-21,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2300,2400,2350
2025-09-20,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2345,2435,2392.5
2025-09-19,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2350,2450,2400
2025-09-18,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2380,2460,2420
2025-09-17,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2350,2450,2400
2025-09-16,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2300,2400,2350
2025-09-15,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2305,2405,2355
2025-09-14,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2250,2350,2300
2025-09-13,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2400,2500,2450
2025-09-12,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2510,2610,2560
2025-09-11,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2500,2600,2550
2025-09-10,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2550,2650,2600
2025-09-09,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2700,2770,2735
2025-09-08,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2850,2950,2900
2025-09-07,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2800,2900,2850
2025-09-06,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2900,3000,2950
2025-09-05,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2975,3075,3025
2025-09-04,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2990,3080,3030
2025-09-03,Tomato,78,Uttar Pradesh,9,Bara Banki,176,3050,3150,3100
2025-09-02,Tomato,78,Uttar Pradesh,9,Bara Banki,176,2925,3025,2975
2025-09-01,Tomato,78,Uttar Pradesh,9,Bara Banki,176,3125,3225,3175
2025-08-31,Tomato,78,Uttar Pradesh,9,Bara Banki,176,3450,3550,3500
2025-08-30,Tomato,78,Uttar Pradesh,9,Bara Banki,176,3850,3950,3900
2025-08-29,Tomato,78,Uttar Pradesh,9,Bara Banki,176,3875,3975,3925
2025-08-28,Tomato,78,Uttar Pradesh,9,Bara Banki,176,4060,4160,4110
2025-08-27,Tomato,78,Uttar Pradesh,9,Bara Banki,176,4075,4175,4125
2025-08-26,Tomato,78,Uttar Pradesh,9,Bara Banki,176,4085,4185,4135
2025-08-25,Tomato,78,Uttar Pradesh,9,Bara Banki,176,4105,4200,4155
2025-08-24,Tomato,78,Uttar Pradesh,9,Bara Banki,176,4100,4200,4150
2025-08-23,Tomato,78,Uttar Pradesh,9,Bara Banki,176,4110,4210,4160
2025-08-22,Tomato,78,Uttar Pradesh,9,Bara Banki,176,4050,4150,4100
2025-08-21,Tomato,78,Uttar Pradesh,9,Bara Banki,176,4110,4200,4160
2025-08-20,Tomato,78,Uttar Pradesh,9,Bara Banki,176,4100,4200,4150
2025-08-19,Tomato,78,Uttar Pradesh,9,Bara Banki,176,3970,4085,4040
2025-08-18,Tomato,78,Uttar Pradesh,9,Bara Banki,176,3995,4095,4045
