date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10962,12052,11992
2025-10-29,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,11859,12069,11859
2025-10-27,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8674,11960,9600
2025-10-23,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8957.5,12037,12037
2025-10-22,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5000,5000,5000
2025-10-17,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8450,8450,8450
2025-10-15,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7500,10000,7500
2025-10-14,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8937.5,10337.5,10337.5
2025-10-13,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4960,10550,7832.5
2025-10-09,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5057.5,10660.5,10140.5
2025-10-08,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8296,10602,10035.5
2025-10-07,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7700,10666.5,9982.5
2025-10-06,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10529,10529,10529
2025-10-03,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8332,8332,8332
2025-10-01,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10222,10542,10347
2025-09-29,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7907,10680,10680
2025-09-26,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5344,10757.5,10342
2025-09-25,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8132,10665,10500.5
2025-09-24,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7514,10655,10580
2025-09-23,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7762,10583.5,10568.5
2025-09-22,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9677,10622,10437.5
2025-09-19,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6620.5,10659,10557
2025-09-18,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10387,10643,10517
2025-09-17,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10224,10247.5,10224
2025-09-16,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9999,10110.5,10110.5
2025-09-12,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4072,10708.5,10453.5
2025-09-11,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5189,10772,10002
2025-09-10,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10432,10723.5,10542.5
2025-09-09,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8680.5,10629,10475.5
2025-09-08,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5084,10665,10143.5
2025-09-04,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,3488.5,10536,9951
2025-09-03,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6934.5,10505,10181
2025-09-02,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8336,10485.5,10250.5
2025-09-01,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7140,10670.5,9267
2025-08-29,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6589,10253.5,10253.5
2025-08-28,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6774,10448.5,10448.5
2025-08-26,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5456,10629,9744.5
2025-08-25,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5480.5,10209,10033.5
2025-08-22,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4586,10692.5,10280.5
2025-08-21,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8857,10550.5,9985.5
2025-08-20,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7762,10367,10225.5
2025-08-19,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6428.5,10368.5,8848.5
2025-08-18,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6749,10442.5,8855.5
2025-08-14,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6812,9665.5,9287
2025-08-13,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7112,7112,7112
2025-08-12,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7349,10344,7500.5
2025-08-11,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6014,10375.5,9956
2025-08-06,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6167,10599,9158.5
2025-08-05,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5737,10590.5,7562
2025-08-04,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7106,10794,10182
2025-08-01,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,3051.5,10667.5,10394
2025-07-31,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7982,10649,10520.5
2025-07-30,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5967,10662.5,7575.5
2025-07-29,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5343.5,9731.5,9731.5
2025-07-28,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6822.5,10634,9353.5
2025-07-25,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4898,10635.5,10607.5
2025-07-24,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6636,10599,10419.5
2025-07-23,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5577.5,10639,10340.5
2025-07-21,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6162,10619,9944
2025-07-18,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6667,10629,10341
2025-07-17,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7880.5,10545.5,10505.5
2025-07-16,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6175.5,10545.5,10354
2025-07-15,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5000,10324,10057
2025-07-14,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6931,10285,10285
2025-07-11,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6284,10532.5,10484
2025-07-10,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5441.5,10835.5,10825.5
2025-07-08,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6720.5,10671.5,10265
2025-07-07,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6844,9539,8255.5
2025-07-04,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6066.5,10849,10395.5
2025-07-03,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6822.5,10814,10257
2025-07-02,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4304,10587.5,5529.5
2025-07-01,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10515.5,10590.5,10515.5
2025-06-30,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6783.5,10429,10192
2025-06-27,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5312.5,11015,10488.5
2025-06-26,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4707.5,10594,9389
2025-06-25,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8389,10489,10340.5
2025-06-24,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5675.5,10626.5,10499.5
2025-06-23,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7189.5,10647,10338.5
2025-06-20,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5354,10873.5,9539
2025-06-19,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8012,10749,8855.5
2025-06-18,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6214,10574,10480.5
2025-06-17,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6700,11030.5,9640.5
2025-06-16,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8548.5,10537,10287
2025-06-13,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5989,11170.5,9840.5
2025-06-12,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6812,10860.5,10330.5
2025-06-11,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5935.5,10905.5,10252
2025-06-10,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5940.5,10919,10458.5
2025-06-06,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5827,10989,9713.5
2025-06-05,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5307,10955.5,10394
2025-06-04,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5559.5,10733,9707.5
2025-06-03,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5367,10960,10438.5
2025-06-02,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8117.5,10930.5,10280.5
2025-05-30,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9850,10895.5,10629
2025-05-29,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7819,11029,10629.5
2025-05-28,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8110.5,10727,10540.5
2025-05-27,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8215.5,10680.5,10575.5
2025-05-26,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6595.5,11128,9780
2025-05-23,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5814,11095.5,10433.5
2025-05-21,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,3817,11148.5,10677
2025-05-20,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9262,11083,10627
2025-05-19,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7637,10955.5,10537
2025-05-16,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7756,11591.5,11297.5
2025-05-15,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8788.5,11535,10218
2025-05-13,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8770.5,11640.5,10654
2025-05-12,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8292,11295.5,10200.5
2025-05-09,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6029.5,11139,10293.5
2025-05-07,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8190.5,11364,10040
2025-05-05,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7534.5,11172,10845
2025-05-02,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7469,11453.5,10456
2025-04-30,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6349,11150.5,10390.5
2025-04-28,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4888.5,11480.5,10788.5
2025-04-25,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8567,11812.5,11052
2025-04-24,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7588.5,12262,11534
2025-04-23,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9133.5,12079,11837.5
2025-04-22,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9887,12605,12245.5
2025-04-21,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9378.5,12292,11995.5
2025-04-17,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7040.5,12462,12262
2025-04-16,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6119.5,12292,12077
2025-04-15,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9117,11985,11628.5
2025-04-11,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9215,11768,11215
2025-04-09,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9190,12115,11837.5
2025-04-08,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9977.5,12417,11997
2025-04-07,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8564.5,12445.5,11637
2025-04-04,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8288.5,12656,11900.5
2025-04-03,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9977,12293.5,11645
2025-04-02,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10000.5,12338,11850
2025-03-28,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7250.5,11040,10867
2025-03-27,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8024,10940,10240
2025-03-26,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6499,10980.5,10632
2025-03-25,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8000.5,10820,10206
2025-03-24,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7394,11004,10158.5
2025-03-21,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9037,10598.5,10362
2025-03-20,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7525.5,10192.5,9917
2025-03-19,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8809,10105.5,9637
2025-03-18,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8372,10121.5,9695
2025-03-17,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8295.5,9889,9307
2025-03-12,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6500,9340.5,8952
2025-03-11,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6937,9454,8819
2025-03-10,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7615,9424,8982
2025-03-07,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6108.5,9504.5,8612
2025-03-06,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7250,9462,9287
2025-03-05,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6112.5,9304,9220.5
2025-03-04,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6865,9150.5,9020
2025-03-03,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5858.5,9295.5,8238.5
2025-02-27,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9218,9218,9218
2025-02-25,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8798.5,9275.5,8832
2025-02-24,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5426.5,9662,8692.5
2025-02-21,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8664.5,9794.5,9655.5
2025-02-20,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9900,9950,9900
2025-02-19,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6950,8257.5,6950
2025-02-18,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5850,8055,7125
2025-02-17,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6250,10354,10113.5
2025-02-14,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6709.5,10360.5,9946
2025-02-13,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7400,8900,8900
2025-02-11,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7765.5,10665.5,10555.5
2025-02-10,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10244.5,10399,10244.5
2025-02-07,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10499.5,10674.5,10600
2025-02-06,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7822.5,10819,10327.5
2025-02-05,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7326,10970.5,8076
2025-02-04,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6712,6712,6712
2025-02-03,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6487,10712.5,7434
2025-01-31,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5283.5,11140.5,7933.5
2025-01-30,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9290.5,11584,10830.5
2025-01-29,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8565,9641,8737
2025-01-28,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5100,6400,5100
2025-01-27,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6678,10950,8350
2025-01-24,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9800,11129,9800
2025-01-23,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5850,5850,5850
2024-03-06,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,11633.5,13829,12781
2024-03-05,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7788.5,13005.5,12463.5
2024-03-04,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9689,9689,9689
2024-03-01,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10485.5,12338.5,12333.5
2024-02-29,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,11133.5,12347.5,12028.5
2024-02-28,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,3880,3880,3880
2024-02-27,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8939,8939,8939
2024-02-26,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5197,10124,9069
2024-02-23,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8469.5,11354,10725
2024-02-22,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7840,10483.5,9325.5
2024-02-21,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6290.5,11179,9955.5
2024-02-20,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10883,10900.5,10900.5
2024-02-15,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9559,11229,10812
2024-02-14,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10377,10377,10377
2024-02-13,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9888,10785,10155
2024-02-12,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8070.5,11037,10877
2024-02-09,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5610.5,11137.5,7520.5
2024-02-08,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5043.5,11119,10367
2024-02-02,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6248,8481.5,6981.5
2024-02-01,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6328.5,10970,9058.5
2024-01-31,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7452,9839,9805.5
2024-01-12,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9034.5,9869.5,9697.5
2024-01-11,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9174,9759,9749
2024-01-10,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9115,10365,10157.5
2024-01-09,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,3119,10324,10049
2024-01-08,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,10369.5,10369.5,10369.5
2023-12-29,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5789,8807.5,7780
2023-12-28,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9188.5,10394,10107
2023-12-27,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6582.5,10231,9964
2023-12-26,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6656.5,9569,8917.5
2023-12-22,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6948,10314,9744
2023-12-21,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6830.5,10312,9878.5
2023-12-20,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9514.5,9514.5,9514.5
2023-12-19,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6138,9080,9080
2023-12-18,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,3500,10238.5,10056
2023-12-15,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7577,10395.5,10048.5
2023-12-14,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6800,10282.5,10282.5
2023-12-13,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8072.5,10062.5,10012.5
2023-12-12,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9869,10300,10250
2023-12-01,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9845,9845,9845
2023-11-29,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,5482.5,9432,9432
2023-11-28,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9642.5,10209,9812.5
2023-11-24,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8310,9862,9749.5
2023-11-23,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8683.5,8718.5,8708.5
2023-11-21,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9512,9512,9512
2023-11-20,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4953.5,7585.5,7585.5
2023-11-17,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4821.5,10206,7762
2023-11-16,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,8032,10439,9955.5
2023-11-15,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9450,10235,10076
2023-11-10,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4949,10062,9117
2023-11-09,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4499,10400,10238.5
2023-11-08,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,4709.5,10581,10086
2023-11-07,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6819.5,9349.5,9349.5
2023-11-06,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,3764,10195.5,9771
2023-11-03,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6028.5,10295.5,9736
2023-11-02,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,7850,9816,9816
2023-11-01,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,6552.5,9783.5,8975
2023-10-31,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9059.5,9059.5,9059.5
2023-10-25,Turmeric,39,Andhra Pradesh,28,Y.S.R.,551,9759,9759,9759
