date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-06-21,Turnip,341,Haryana,6,Ambala,70,600,1200,700
2025-02-27,Turnip,341,Haryana,6,Ambala,70,400,400,400
2025-02-26,Turnip,341,Haryana,6,Ambala,70,500,500,500
2025-02-15,Turnip,341,Haryana,6,Ambala,70,500,500,500
2025-02-10,Turnip,341,Haryana,6,Ambala,70,500,500,500
2025-02-07,Turnip,341,Haryana,6,Ambala,70,500,500,500
2025-02-05,Turnip,341,Haryana,6,Ambala,70,300,500,350
2025-02-03,Turnip,341,Haryana,6,Ambala,70,500,800,600
2025-02-01,Turnip,341,Haryana,6,Ambala,70,500,600,570
2025-01-31,Turnip,341,Haryana,6,Ambala,70,500,1000,750
2025-01-30,Turnip,341,Haryana,6,Ambala,70,300,700,450
2025-01-28,Turnip,341,Haryana,6,Ambala,70,500,600,550
2025-01-27,Turnip,341,Haryana,6,Ambala,70,1000,1000,1000
2025-01-24,Turnip,341,Haryana,6,Ambala,70,400,900,600
2025-01-23,Turnip,341,Haryana,6,Ambala,70,400,800,500
2025-01-22,Turnip,341,Haryana,6,Ambala,70,700,800,740
2025-01-21,Turnip,341,Haryana,6,Ambala,70,500,700,650
2025-01-20,Turnip,341,Haryana,6,Ambala,70,300,400,370
2025-01-18,Turnip,341,Haryana,6,Ambala,70,400,500,420
2025-01-16,Turnip,341,Haryana,6,Ambala,70,300,600,500
2025-01-15,Turnip,341,Haryana,6,Ambala,70,500,700,600
2025-01-14,Turnip,341,Haryana,6,Ambala,70,500,1000,700
2025-01-13,Turnip,341,Haryana,6,Ambala,70,500,800,650
2025-01-11,Turnip,341,Haryana,6,Ambala,70,500,500,500
2025-01-10,Turnip,341,Haryana,6,Ambala,70,500,1500,800
2025-01-09,Turnip,341,Haryana,6,Ambala,70,500,800,600
2025-01-08,Turnip,341,Haryana,6,Ambala,70,500,1000,700
2025-01-07,Turnip,341,Haryana,6,Ambala,70,600,1000,750
2025-01-06,Turnip,341,Haryana,6,Ambala,70,1000,1100,1050
2025-01-04,Turnip,341,Haryana,6,Ambala,70,1000,1300,1250
2025-01-03,Turnip,341,Haryana,6,Ambala,70,950,1250,1100
2025-01-02,Turnip,341,Haryana,6,Ambala,70,500,1000,800
2025-01-01,Turnip,341,Haryana,6,Ambala,70,700,800,770
2024-12-31,Turnip,341,Haryana,6,Ambala,70,1100,1500,1350
2024-12-30,Turnip,341,Haryana,6,Ambala,70,800,1000,920
2024-12-28,Turnip,341,Haryana,6,Ambala,70,400,800,600
2024-12-27,Turnip,341,Haryana,6,Ambala,70,500,700,550
2024-12-26,Turnip,341,Haryana,6,Ambala,70,700,1000,800
2024-12-25,Turnip,341,Haryana,6,Ambala,70,800,1000,1000
2024-12-24,Turnip,341,Haryana,6,Ambala,70,600,1000,800
2024-12-12,Turnip,341,Haryana,6,Ambala,70,1000,1000,1000
2024-12-10,Turnip,341,Haryana,6,Ambala,70,800,1000,920
2024-12-09,Turnip,341,Haryana,6,Ambala,70,1000,1500,1250
2024-12-07,Turnip,341,Haryana,6,Ambala,70,1000,1400,1200
2024-12-06,Turnip,341,Haryana,6,Ambala,70,1000,1000,1000
2024-12-04,Turnip,341,Haryana,6,Ambala,70,1000,1000,1000
2024-12-03,Turnip,341,Haryana,6,Ambala,70,400,1000,800
2024-11-30,Turnip,341,Haryana,6,Ambala,70,1100,1100,1100
2024-11-29,Turnip,341,Haryana,6,Ambala,70,800,800,800
2024-11-28,Turnip,341,Haryana,6,Ambala,70,1000,1000,1000
2024-11-26,Turnip,341,Haryana,6,Ambala,70,1000,1000,1000
2024-11-23,Turnip,341,Haryana,6,Ambala,70,1200,1200,1200
2024-11-22,Turnip,341,Haryana,6,Ambala,70,1200,1200,1200
2024-11-21,Turnip,341,Haryana,6,Ambala,70,1200,1500,1350
2024-11-19,Turnip,341,Haryana,6,Ambala,70,700,700,700
2024-11-18,Turnip,341,Haryana,6,Ambala,70,1000,1000,1000
2024-11-07,Turnip,341,Haryana,6,Ambala,70,1000,1500,1150
2024-03-06,Turnip,341,Haryana,6,Ambala,70,700,700,700
2024-03-05,Turnip,341,Haryana,6,Ambala,70,2000,2000,2000
2024-03-04,Turnip,341,Haryana,6,Ambala,70,700,700,700
2024-03-01,Turnip,341,Haryana,6,Ambala,70,500,500,500
2024-02-28,Turnip,341,Haryana,6,Ambala,70,700,700,700
2024-02-13,Turnip,341,Haryana,6,Ambala,70,1000,1000,1000
2024-02-09,Turnip,341,Haryana,6,Ambala,70,500,500,500
2024-02-06,Turnip,341,Haryana,6,Ambala,70,1000,1000,1000
