date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-27,Water Melon,73,Madhya Pradesh,23,Katni,450,1200,1200,1200
2025-10-25,Water Melon,73,Madhya Pradesh,23,Katni,450,1000,2000,1500
2025-09-29,Water Melon,73,Madhya Pradesh,23,Katni,450,1000,1200,1000
2025-09-16,Water Melon,73,Madhya Pradesh,23,Katni,450,1000,1000,1000
2025-09-13,Water Melon,73,Madhya Pradesh,23,Katni,450,1000,1000,1000
2025-09-09,Water Melon,73,Madhya Pradesh,23,Katni,450,1000,1000,1000
2025-09-02,Water Melon,73,Madhya Pradesh,23,Katni,450,1500,1500,1500
2023-12-18,Water Melon,73,Madhya Pradesh,23,Katni,450,800,1500,800
2023-12-15,Water Melon,73,Madhya Pradesh,23,Katni,450,800,800,800
2023-12-13,Water Melon,73,Madhya Pradesh,23,Katni,450,800,800,800
2023-11-10,Water Melon,73,Madhya Pradesh,23,Katni,450,800,1500,800
2023-11-06,Water Melon,73,Madhya Pradesh,23,Katni,450,800,800,800
2023-11-05,Water Melon,73,Madhya Pradesh,23,Katni,450,1500,1500,1500
2023-11-03,Water Melon,73,Madhya Pradesh,23,Katni,450,800,800,800
2023-11-01,Water Melon,73,Madhya Pradesh,23,Katni,450,800,1500,800
2023-10-31,Water Melon,73,Madhya Pradesh,23,Katni,450,700,700,700
2023-10-29,Water Melon,73,Madhya Pradesh,23,Katni,450,700,700,700
2023-10-27,Water Melon,73,Madhya Pradesh,23,Katni,450,700,800,800
2023-10-21,Water Melon,73,Madhya Pradesh,23,Katni,450,800,900,800
2023-10-20,Water Melon,73,Madhya Pradesh,23,Katni,450,1500,1500,1500
2023-10-18,Water Melon,73,Madhya Pradesh,23,Katni,450,700,700,700
2023-10-16,Water Melon,73,Madhya Pradesh,23,Katni,450,700,1500,700
2023-10-14,Water Melon,73,Madhya Pradesh,23,Katni,450,700,700,700
2023-10-13,Water Melon,73,Madhya Pradesh,23,Katni,450,900,900,900
2023-10-11,Water Melon,73,Madhya Pradesh,23,Katni,450,700,1000,1000
2023-10-10,Water Melon,73,Madhya Pradesh,23,Katni,450,1000,1000,1000
2023-10-07,Water Melon,73,Madhya Pradesh,23,Katni,450,700,700,700
2023-10-06,Water Melon,73,Madhya Pradesh,23,Katni,450,800,1000,800
2023-10-05,Water Melon,73,Madhya Pradesh,23,Katni,450,800,1000,800
2023-09-28,Water Melon,73,Madhya Pradesh,23,Katni,450,800,800,800
2023-09-27,Water Melon,73,Madhya Pradesh,23,Katni,450,800,800,800
2023-09-25,Water Melon,73,Madhya Pradesh,23,Katni,450,800,800,800
2023-09-23,Water Melon,73,Madhya Pradesh,23,Katni,450,800,800,800
2023-09-22,Water Melon,73,Madhya Pradesh,23,Katni,450,1600,1600,1600
2023-09-15,Water Melon,73,Madhya Pradesh,23,Katni,450,800,800,800
2023-09-06,Water Melon,73,Madhya Pradesh,23,Katni,450,800,1600,800
2023-09-02,Water Melon,73,Madhya Pradesh,23,Katni,450,1000,1000,1000
2023-08-29,Water Melon,73,Madhya Pradesh,23,Katni,450,800,800,800
2023-08-26,Water Melon,73,Madhya Pradesh,23,Katni,450,900,900,900
2023-08-10,Water Melon,73,Madhya Pradesh,23,Katni,450,800,800,800
2023-08-02,Water Melon,73,Madhya Pradesh,23,Katni,450,1500,1500,1500
2023-08-01,Water Melon,73,Madhya Pradesh,23,Katni,450,1000,1000,1000
2023-07-26,Water Melon,73,Madhya Pradesh,23,Katni,450,1500,1500,1500
2023-07-21,Water Melon,73,Madhya Pradesh,23,Katni,450,1500,1500,1500
2023-07-19,Water Melon,73,Madhya Pradesh,23,Katni,450,1200,1200,1200
2023-07-13,Water Melon,73,Madhya Pradesh,23,Katni,450,1200,1200,1200
