date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Wheat,1,Uttar Pradesh,9,Chandauli,196,2540,2640,2590
2025-10-29,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2650,2600
2025-10-28,Wheat,1,Uttar Pradesh,9,Chandauli,196,2560,2660,2610
2025-10-27,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2650,2600
2025-10-24,Wheat,1,Uttar Pradesh,9,Chandauli,196,2530,2630,2580
2025-10-23,Wheat,1,Uttar Pradesh,9,Chandauli,196,2575,2650,2600
2025-10-18,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2650,2600
2025-10-17,Wheat,1,Uttar Pradesh,9,Chandauli,196,2560,2660,2610
2025-10-16,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2650,2600
2025-10-15,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2650,2600
2025-10-14,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2650,2600
2025-10-13,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2630,2590
2025-10-11,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2650,2600
2025-10-09,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2660,2610
2025-10-08,Wheat,1,Uttar Pradesh,9,Chandauli,196,2560,2660,2610
2025-10-07,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2650,2600
2025-10-06,Wheat,1,Uttar Pradesh,9,Chandauli,196,2560,2660,2610
2025-10-03,Wheat,1,Uttar Pradesh,9,Chandauli,196,2575,2625,2600
2025-10-02,Wheat,1,Uttar Pradesh,9,Chandauli,196,2565,2665,2615
2025-09-30,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2650,2610
2025-09-29,Wheat,1,Uttar Pradesh,9,Chandauli,196,2560,2660,2610
2025-09-27,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2650,2600
2025-09-26,Wheat,1,Uttar Pradesh,9,Chandauli,196,2560,2660,2610
2025-09-25,Wheat,1,Uttar Pradesh,9,Chandauli,196,2575,2625,2600
2025-09-23,Wheat,1,Uttar Pradesh,9,Chandauli,196,2560,2630,2590
2025-09-22,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2625,2585
2025-09-20,Wheat,1,Uttar Pradesh,9,Chandauli,196,2530,2630,2580
2025-09-19,Wheat,1,Uttar Pradesh,9,Chandauli,196,2530,2630,2580
2025-09-18,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2600,2575
2025-09-17,Wheat,1,Uttar Pradesh,9,Chandauli,196,2545,2615,2585
2025-09-16,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2610,2580
2025-09-15,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2600,2580
2025-09-13,Wheat,1,Uttar Pradesh,9,Chandauli,196,2510,2600,2570
2025-09-12,Wheat,1,Uttar Pradesh,9,Chandauli,196,2525,2600,2565
2025-09-11,Wheat,1,Uttar Pradesh,9,Chandauli,196,2540,2580,2560
2025-09-10,Wheat,1,Uttar Pradesh,9,Chandauli,196,2535,2620,2570
2025-09-09,Wheat,1,Uttar Pradesh,9,Chandauli,196,2530,2590,2560
2025-09-08,Wheat,1,Uttar Pradesh,9,Chandauli,196,2520,2620,2570
2025-09-06,Wheat,1,Uttar Pradesh,9,Chandauli,196,2530,2620,2580
2025-09-05,Wheat,1,Uttar Pradesh,9,Chandauli,196,2530,2620,2580
2025-09-04,Wheat,1,Uttar Pradesh,9,Chandauli,196,2525,2610,2570
2025-09-03,Wheat,1,Uttar Pradesh,9,Chandauli,196,2530,2620,2570
2025-09-02,Wheat,1,Uttar Pradesh,9,Chandauli,196,2535,2590,2570
2025-08-30,Wheat,1,Uttar Pradesh,9,Chandauli,196,2540,2580,2560
2025-08-29,Wheat,1,Uttar Pradesh,9,Chandauli,196,2550,2590,2570
2025-08-28,Wheat,1,Uttar Pradesh,9,Chandauli,196,2535,2585,2565
2025-08-27,Wheat,1,Uttar Pradesh,9,Chandauli,196,2525,2580,2560
2025-08-26,Wheat,1,Uttar Pradesh,9,Chandauli,196,2520,2600,2560
2025-08-25,Wheat,1,Uttar Pradesh,9,Chandauli,196,2520,2600,2560
2025-08-23,Wheat,1,Uttar Pradesh,9,Chandauli,196,2545,2585,2565
2025-08-22,Wheat,1,Uttar Pradesh,9,Chandauli,196,2545,2585,2565
2025-08-21,Wheat,1,Uttar Pradesh,9,Chandauli,196,2540,2580,2560
2025-08-20,Wheat,1,Uttar Pradesh,9,Chandauli,196,2525,2575,2550
2025-08-19,Wheat,1,Uttar Pradesh,9,Chandauli,196,2510,2600,2550
2025-08-18,Wheat,1,Uttar Pradesh,9,Chandauli,196,2500,2600,2550
2025-08-16,Wheat,1,Uttar Pradesh,9,Chandauli,196,2500,2600,2560
2025-08-15,Wheat,1,Uttar Pradesh,9,Chandauli,196,2500,2600,2550
2025-08-14,Wheat,1,Uttar Pradesh,9,Chandauli,196,2500,2600,2550
2025-08-13,Wheat,1,Uttar Pradesh,9,Chandauli,196,2530,2600,2560
2025-08-12,Wheat,1,Uttar Pradesh,9,Chandauli,196,2500,2600,2550
