date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-04-14,Yam (Ratalu),297,Kerala,32,Kozhikode,591,7000,7000,7000
2025-03-15,Yam (Ratalu),297,Kerala,32,Kozhikode,591,6000,6000,6000
2025-03-14,Yam (Ratalu),297,Kerala,32,Kozhikode,591,6000,6000,6000
2025-03-13,Yam (Ratalu),297,Kerala,32,Kozhikode,591,6000,6000,6000
2025-02-14,Yam (Ratalu),297,Kerala,32,Kozhikode,591,4000,4000,4000
2025-01-23,Yam (Ratalu),297,Kerala,32,Kozhikode,591,3000,3000,3000
2025-01-12,Yam (Ratalu),297,Kerala,32,Kozhikode,591,5000,5000,5000
2025-01-11,Yam (Ratalu),297,Kerala,32,Kozhikode,591,5000,5000,5000
2025-01-09,Yam (Ratalu),297,Kerala,32,Kozhikode,591,5500,5500,5500
2025-01-06,Yam (Ratalu),297,Kerala,32,Kozhikode,591,5500,5500,5500
2024-10-15,Yam (Ratalu),297,Kerala,32,Kozhikode,591,6000,6000,6000
2024-08-23,Yam (Ratalu),297,Kerala,32,Kozhikode,591,6500,6500,6500
2024-08-04,Yam (Ratalu),297,Kerala,32,Kozhikode,591,7000,7000,7000
2024-07-29,Yam (Ratalu),297,Kerala,32,Kozhikode,591,7000,7000,7000
2024-07-26,Yam (Ratalu),297,Kerala,32,Kozhikode,591,7000,7000,7000
2024-07-23,Yam (Ratalu),297,Kerala,32,Kozhikode,591,7000,7000,7000
2024-07-22,Yam (Ratalu),297,Kerala,32,Kozhikode,591,7000,7000,7000
2024-07-15,Yam (Ratalu),297,Kerala,32,Kozhikode,591,7000,7000,7000
2024-07-10,Yam (Ratalu),297,Kerala,32,Kozhikode,591,7000,7000,7000
