date,commodity,commodity_id,state,state_id,district,district_id,price_min,price_max,price_modal
2025-10-30,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-29,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-28,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-27,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,4600,4600,4600
2025-10-26,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-24,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,4600,4600,4600
2025-10-23,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-22,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-21,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-20,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-19,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-18,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-17,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-16,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5080,5080,5080
2025-10-15,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5100,5100,5100
2025-10-14,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5880,5880,5880
2025-10-13,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5600,5600,5600
2025-10-12,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5880,5880,5880
2025-10-10,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5880,5880,5880
2025-10-09,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5880,5880,5880
2025-10-08,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6000,6000,6000
2025-10-07,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-10-06,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6000,6000,6000
2025-10-05,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-10-03,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-10-02,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-30,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-29,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6000,6000,6000
2025-09-28,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-27,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-26,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-25,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-24,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-23,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6000,6000,6000
2025-09-22,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6000,6000,6000
2025-09-21,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-20,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-19,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-18,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-17,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-16,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,6200,6200,6200
2025-09-15,Yam (Ratalu),297,Tamil Nadu,33,Viluppuram,607,5600,5600,5600
